 Adsorption Energy,Valence Electrons, Surface
8,1.53167111,Os6Ru6
7.343420462,1.532117784,Au6W6
7.483314774,1.532449899,Mn6Ru6
8.320335292,1.534519325,Os6Rh6
5.848035476,1.537922109,Nb6Ru6
9.321697518,1.538341572,Ir6Pd6
6,1.54005657,Cd6W6
6.694329501,1.540139428,Cd6Ta6
7.268482371,1.542274842,Cr6Ru6
5.848035476,1.54887197,Ru6Ta6
7.611662611,1.552453804,Co6Re6
9,1.554122814,Co6V6
3,1.560266056,Sc12
7.343420462,1.563092911,Ag6W6
6.868285455,1.572259746,Co6W6
8.61773876,1.585551146,Pd6Ru6
6.694329501,1.587503019,Ta6Zn6
9,1.592259297,Ir6Zn6
6.868285455,1.594762472,Rh6W6
8,1.59930963,Ru12
5.848035476,1.600243389,Nb6Os6
3,1.605617093,La6Y6
7.113786609,1.610850114,Pd6W6
7.268482371,1.611043451,Cr6Fe6
9,1.615074818,Cd6Ir6
7.113786609,1.615414552,Pt6W6
7.611662611,1.615436729,Rh6Tc6
6,1.61568272,Cd6Sc6
8.320335292,1.617091861,Co6Os6
8.138223044,1.617196081,Cu6Re6
10,1.619419931,Ni6Y6
5.848035476,1.623112788,Ru6V6
6.32455532,1.62357062,Os6V6
8,1.626479789,Ru6Ti6
7.611662611,1.626823741,Ir6Re6
8,1.629171131,Hf6Ru6
6.082201996,1.635388796,Nb6Rh6
6.082201996,1.637041207,Ir6Nb6
7.343420462,1.650907584,Cu6W6
8.61773876,1.653115652,Ni6Os6
5.848035476,1.653146537,Os6Ta6
6.082201996,1.656796264,Rh6V6
6.32455532,1.661174983,Hf6Pt6
6.082201996,1.665885002,Ir6V6
9,1.667561767,Ir6Sc6
8,1.677095004,Os12
5.744562647,1.677475011,Ag6Sc6
9.321697518,1.678740204,Ir6Pt6
8.320335292,1.68369703,Rh6Ru6
7.559526299,1.686820896,W6Zn6
6.868285455,1.695366632,Ir6W6
9,1.698238249,Ir6Rh6
8.61773876,1.704283666,Pt6Ru6
11,1.70533974,Cu6Y6
7.883735163,1.706457447,Pt6Tc6
8.320335292,1.709302806,Ir6Os6
6.868285455,1.709325663,Cr6Rh6
7.113786609,1.713947245,Mo6Pd6
7,1.714999509,Cd6Re6
8.320335292,1.716112046,Co6Ru6
9,1.717168664,Cd6Rh6
6,1.719532925,Y6Zn6
7.113786609,1.726820678,Cr6Pd6
9.321697518,1.727759879,Ir6Ni6
8,1.735675127,Fe6Os6
5,1.737143589,Hg6Ta6
10,1.740227047,Nb6Ni6
9,1.744027253,Ag6Ir6
9.321697518,1.745640616,Pd6Rh6
7.611662611,1.747814941,Ir6Tc6
6.868285455,1.749373745,Mo6Rh6
8.61773876,1.750000015,Ni6Ru6
7.343420462,1.750476895,Au6Mo6
7.113786609,1.759121679,Mo6Pt6
6.502957234,1.763020254,Ag6Ta6
9.62260299,1.76341999,Cu6Ir6
7.862224183,1.763987075,Ir6Mo6
6.868285455,1.765145191,Cr6Ir6
7.113786609,1.772626553,Ni6W6
6.299605249,1.794784647,Ni6Ta6
3,1.796520869,Y12
6.502957234,1.80674786,Au6Ta6
9,1.816983694,Co6Ir6
8.653497422,1.821629221,Fe6Ir6
5.768998281,1.825249424,Cd6Ti6
6.299605249,1.830893065,Pd6Ta6
7.343420462,1.836787187,Ag6Mo6
3,1.839902482,La12
5.744562647,1.843642143,Ag6Y6
5.768998281,1.844507192,Cd6Hf6
8,1.851054796,Fe6Ru6
7.343420462,1.851158471,Cr6Cu6
7.113786609,1.867945174,Cr6Pt6
8.320335292,1.875739875,Ir6Ru6
5,1.876658259,Cd6V6
6.694329501,1.87763746,Nb6Zn6
9,1.882638096,Rh6Y6
8.895920362,1.884561941,Cu6Os6
8.138223044,1.885343588,Cu6Tc6
6.502957234,1.886466602,Cu6Ta6
9,1.88966081,Ir12
9.321697518,1.893514623,Pt6Rh6
7.113786609,1.89413409,Mo6Ni6
7.343420462,1.896682708,Cu6Mo6
7,1.901166872,Re6Zn6
9,1.907733523,Ag6Rh6
5.744562647,1.917778197,Ag6La6
6,1.922794344,Cd6La6
6.299605249,1.923490275,Pd6V6
3.77976315,1.92554487,La6W6
9,1.926347062,Rh12
6.694329501,1.928084101,Cd6Nb6
6.32455532,1.933521479,Pd6Zr6
3,1.934841776,La6Zn6
11,1.93691161,Cu6La6
6,1.940358884,Cd6Mo6
7,1.942400146,Ag6Tc6
6.299605249,1.945962932,Pt6Ta6
10,1.946629203,La6Ni6
9,1.946864173,Co6Rh6
9.321697518,1.966217318,Ni6Rh6
8,1.96858498,Cd6Ru6
7.651724731,1.971814835,Fe6Tc6
9,1.975080474,Rh6Zr6
9,1.981092149,Hg6Rh6
9.62260299,1.984283228,Au6Rh6
9.62260299,1.987524103,Cu6Rh6
5.768998281,1.990415177,Cd6Zr6
6.502957234,1.993154955,Ag6V6
8,1.993177405,Cd6Os6
6.502957234,1.997783611,Au6V6
6.299605249,2.000818225,Pt6V6
4,2.005152318,Hg6Ti6
9,2.010220574,La6Rh6
6.502957234,2.011710398,Au6Nb6
5.744562647,2.019211488,Au6Sc6
6.299605249,2.028585946,Nb6Pd6
6,2.033004122,Cr6Zn6
5.604078661,2.041283185,Ag6Ti6
6.694329501,2.053697291,V6Zn6
7.559526299,2.054952552,Mo6Zn6
10,2.063205493,Pd6Pt6
5.768998281,2.067588158,Ti6Zn6
5.604078661,2.068734574,Ag6Hf6
5.428835233,2.069315945,Pd6Ti6
9,2.076354986,Rh6Zn6
8,2.085834752,Os6Zn6
6.502957234,2.097416461,Ag6Nb6
9,2.106999494,Co12
8.895920362,2.115206311,Cu6Ru6
8.895920362,2.117695881,Ag6Ru6
6.299605249,2.119152778,Nb6Pt6
5.604078661,2.119875921,Au6Hf6
6.502957234,2.130292847,Cu6V6
6.502957234,2.130566865,Cu6Nb6
5.241482788,2.143409686,Rh6Ti6
5.604078661,2.146440354,Au6Ti6
5.768998281,2.152428491,Hg6Zr6
6,2.169915071,Hg6Sc6
5.604078661,2.175398028,Ag6Zr6
5.604078661,2.176645126,Cu6Ti6
7,2.194605592,Cd6Tc6
7,2.200823529,Tc6Zn6
10,2.222465831,Pt12
