Valence Electrons, Adsorption Energy, Surface
6.299605249,-1.624789554,Pt6V6
4.326748711,-1.623614158,Ir6Sc6
6.316359598,-1.61738969,Cr6Tc6
6.603854498,-1.612677767,Cr6Ru6
6.868285455,-1.607730329,Co6W6
7.113786609,-1.595836097,Cr6Pd6
6.868285455,-1.593312649,Rh6W6
6.603854498,-1.581612162,Ru6W6
7.113786609,-1.578433329,Ni6W6
7.113786609,-1.519637828,Mo6Pd6
4.326748711,-1.517482686,Ir6Y6
6.868285455,-1.509075185,Cr6Rh6
6,-1.470756114,Au6W6
6,-1.470453931,Cd6W6
7.113786609,-1.470152021,Mo6Ni6
6.868285455,-1.461350771,Mo6Rh6
6.603854498,-1.460015781,Mo6Ru6
6,-1.454437175,Ag6Mo6
6.316359598,-1.451145006,Cr6Re6
4.326748711,-1.451137931,Ir6La6
6.603854498,-1.420761046,Cr6Os6
6.603854498,-1.417366698,Os6W6
7.343420462,-1.416902336,Cu6Mo6
7.113786609,-1.399855221,Pt6W6
7.559526299,-1.393716468,W6Zn6
7,-1.34952246,Re6Tc6
6.868285455,-1.339652347,Ir6W6
6.603854498,-1.338956688,Mo6Os6
7,-1.287207166,Tc12
6,-1.269777867,Cr6Zn6
7.113786609,-1.234992602,Mo6Pt6
6,-1.225965362,Cr6Y6
6.868285455,-1.21811964,Ir6Mo6
7,-1.20893607,Re12
6,-1.197254223,Au6Mo6
6.868285455,-1.190340082,Cr6Ir6
7.31861142,-1.179164231,Re6Ru6
7.113786609,-1.173692702,Cr6Pt6
7.611662611,-1.164200146,Co6Re6
12,-1.133030867,Cd6Mo6
4,-1.111940139,Pd6Ti6
7.559526299,-1.105494443,Mo6Zn6
7.31861142,-1.080539563,Ru6Tc6
7.883735163,-1.078489457,Pd6Re6
7.611662611,-1.071370823,Re6Rh6
8.879040017,-1.068558663,Ni6Re6
7,-1.01023283,Ag6Re6
8.138223044,-1.007275089,Cu6Re6
6,-0.96182337,Hg6W6
7.31861142,-0.959206043,Os6Re6
7.31861142,-0.949255112,Fe6Tc6
7.31861142,-0.913344521,Os6Tc6
7.611662611,-0.907115019,Rh6Tc6
7.883735163,-0.859002979,Pd6Tc6
7.31861142,-0.834910973,Mn6Ru6
3,-0.768978606,La6Os6
7.611662611,-0.756118778,Ir6Re6
8.138223044,-0.716398865,Cu6Tc6
8.377718728,-0.663849737,Mn6Zn6
7.883735163,-0.650947187,Pt6Re6
