"surface","site","reaction energy (eV)","reaction energy difference (eV)","absolute reaction energy difference (eV)"
"Cd6Mn6","hollow|A_A_B|FCC",0.683898677,-0.733119988,0.733119988
"Cu6Zn6","hollow|A_B_B|HCP",0.673092356,-0.743926309,0.743926309
"Cu6Ni6","hollow|A_A_B|FCC",0.669621408,-0.747397257,0.747397257
"Fe6Pd6","hollow|A_B_B|FCC",0.66942154,-0.747597125,0.747597125
"Tc6Zn6","hollow|A_B_B|FCC",0.665282008,-0.751736657,0.751736657
"Ag6Au6","hollow|A_B_B|FCC",2.171728301,0.754709636,0.754709636
"Au6Hg6","hollow|A_B_B|HCP",2.174596653,0.757577988,0.757577988
"Cd6Ir6","bridge|B_B|A",0.653885609,-0.763133056,0.763133056
"Pd6Rh6","hollow|A_B_B|HCP",0.653795403,-0.763223262,0.763223262
"Ir6Ni6","hollow|A_B_B|HCP",0.649255864,-0.767762801,0.767762801
"Pd6Pt6","top|B",2.188560991,0.771542326,0.771542326
"Os6Rh6","hollow|A_B_B|FCC",0.645319601,-0.771699064,0.771699064
"Cu6Zn6","hollow|A_B_B|FCC",0.640969725,-0.77604894,0.77604894
"Ni6Zn6","hollow|A_B_B|FCC",0.63958521,-0.777433455,0.777433455
"Au6Pd6","hollow|A_A_B|FCC",2.198265115,0.78124645,0.78124645
"Ni6Pt6","hollow|A_A_B|FCC",0.634917914,-0.782100751,0.782100751
"Ir6Ni6","bridge|A_A|B",0.634453551,-0.782565114,0.782565114
"Co6Zn6","hollow|A_B_B|HCP",0.633955719,-0.783062946,0.783062946
"Ir6Mn6","hollow|A_A_B|HCP",0.631621118,-0.785397547,0.785397547
"Cr6Ru6","top|B",0.626013124,-0.791005541,0.791005541
"Co6Pt6","hollow|A_A_B|HCP",0.624480715,-0.79253795,0.79253795
"Au6Re6","top|B",0.619271912,-0.797746753,0.797746753
"Ag6Rh6","bridge|B_B|A",0.612177904,-0.804840761,0.804840761
"Os6Zn6","hollow|A_B_B|HCP",0.611526872,-0.805491793,0.805491793
"Cd6Ir6","hollow|A_B_B|HCP",0.610801961,-0.806216704,0.806216704
"Cd6Zn6","hollow|A_A_B|FCC",0.607710611,-0.809308054,0.809308054
"Hg6Pd6","hollow|A_A_B|FCC",2.226565498,0.809546833,0.809546833
"Rh6Ru6","hollow|A_A_B|FCC",0.607068287,-0.809950378,0.809950378
"Ir6Rh6","hollow|A_A_B|HCP",0.604373815,-0.81264485,0.81264485
"Co6Sc6","top|B",0.604218574,-0.812800091,0.812800091
"Co6Sc6","top|B",0.604218574,-0.812800091,0.812800091
"Co6Sc6","top|B",0.604218574,-0.812800091,0.812800091
"Rh12","hollow|A_A_A|HCP",0.598425407,-0.818593258,0.818593258
"Cu6Ru6","hollow|A_A_B|HCP",0.59586155,-0.821157115,0.821157115
"Rh12","hollow|A_A_A|FCC",0.595410113,-0.821608552,0.821608552
"Ir6Ni6","hollow|A_B_B|FCC",0.592878774,-0.824139891,0.824139891
"Co6Zr6","top|A",0.59128582,-0.825732845,0.825732845
"Hf6Os6","top|B",0.582973831,-0.834044834,0.834044834
"Ir6Ru6","hollow|A_A_B|HCP",0.57284725,-0.844171415,0.844171415
"Ir6Pd6","hollow|A_A_B|HCP",0.570579862,-0.846438803,0.846438803
"Pd6Rh6","hollow|A_B_B|FCC",0.568408121,-0.848610544,0.848610544
