surface,site,reaction energy (eV),reaction energy difference (eV),absolute reaction energy difference (eV)
V12,top|A,3.602374699,-0.507698436,0.507698436
Au6Ta6,hollow|A_A_B|HCP,3.598553405,-0.51151973,0.51151973
Cd6Hf6,hollow|A_A_B|FCC,3.592888539,-0.517184596,0.517184596
Cr6Tc6,top|B,3.586917817,-0.523155318000001,0.523155318000001
Cr6Ru6,top|B,3.575362231,-0.534710904,0.534710904
Ru12,top|A,3.567144257,-0.542928878000001,0.542928878000001
Cu6Pt6,hollow|A_A_B|HCP,3.555957248,-0.554115887000001,0.554115887000001
Pt6Sc6,bridge|B_B|A,3.550123672,-0.559949463000001,0.559949463000001
Ag6Fe6,hollow-tilt|A_A_B|HCP,3.546400474,-0.563672661,0.563672661
Cu6Ni6,hollow|A_A_B|HCP,3.544645748,-0.565427387000001,0.565427387000001
Ag6Fe6,hollow-tilt|A_A_B|FCC,3.543872401,-0.566200734000001,0.566200734000001
Ag6Rh6,hollow|A_A_B|FCC,3.538365089,-0.571708046,0.571708046
Tc6V6,top|A,3.535656196,-0.574416939,0.574416939
Cu6Ni6,hollow|A_A_B|FCC,3.531879392,-0.578193743,0.578193743
Cd6Zr6,hollow|A_A_B|FCC,3.528702871,-0.581370264,0.581370264
Au6Cu6,hollow|A_A_B|FCC,4.695627013,0.585553878,0.585553878
Cu6Zr6,top|A,4.712566371,0.602493236,0.602493236
Cr6Os6,top|B,3.506645187,-0.603427948,0.603427948
Cr6Re6,top|B,3.503187164,-0.606885971000001,0.606885971000001
Cu6Zn6,hollow|A_B_B|HCP,4.724178557,0.614105422,0.614105422
Ag6Ti6,hollow|A_A_B|FCC,3.489275072,-0.620798063000001,0.620798063000001
Cu6Pt6,hollow|A_A_B|FCC,3.479474756,-0.630598379,0.630598379
Cd6Nb6,hollow-tilt|A_A_B|FCC,3.478986448,-0.631086687,0.631086687
Au12,hollow|A_A_A|FCC,4.7414235,0.631350364999999,0.631350364999999
Au6Ta6,hollow|A_A_B|FCC,3.478301945,-0.63177119,0.63177119
Cd6Nb6,hollow|A_A_B|HCP,3.471302225,-0.63877091,0.63877091
Hg6Rh6,top|B,3.45301876,-0.657054375,0.657054375
Au6Nb6,hollow|A_A_B|FCC,3.449734482,-0.660338653,0.660338653
Au6Cu6,hollow|A_A_B|HCP,4.774783976,0.664710841,0.664710841
Ag6Pd6,bridge|B_B|A,3.440907517,-0.669165618000001,0.669165618000001
Ag6Rh6,hollow-tilt|A_A_B|HCP,3.440840986,-0.669232149,0.669232149
Ag6Ta6,hollow|A_A_B|FCC,3.440241247,-0.669831888000001,0.669831888000001
Cu6La6,4fold|A_A_B_B,3.437413984,-0.672659151,0.672659151
Ag6Ta6,hollow|A_A_B|HCP,3.430066502,-0.680006633000001,0.680006633000001
Ir12,top|A,3.426523308,-0.683549827,0.683549827
Au6Y6,hollow|A_B_B|HCP,3.416674011,-0.693399124,0.693399124
Cd6Os6,top|B,3.414860237,-0.695212898,0.695212898
Cd6Ti6,hollow-tilt|A_A_B|FCC,3.414167299,-0.695905836000001,0.695905836000001
Au6Zn6,hollow|A_A_B|FCC,4.820968905,0.71089577,0.71089577
Ag6Ir6,hollow|A_A_B|FCC,3.398978585,-0.71109455,0.71109455
Ag6Nb6,hollow|A_A_B|HCP,3.395911317,-0.714161818,0.714161818
Pd12,top|A,4.826180566,0.716107430999999,0.716107430999999
Os6Zn6,hollow|A_B_B|FCC,3.388853093,-0.721220042000001,0.721220042000001
Cd6Tc6,hollow-tilt|A_A_B|FCC,3.387464496,-0.722608639,0.722608639
Pd6Y6,bridge|B_B|A,3.385044723,-0.725028412,0.725028412
Cd6Rh6,top|B,3.382512704,-0.727560431000001,0.727560431000001
Rh6Y6,4fold|A_A_B_B,3.37708172,-0.732991415,0.732991415
Fe6Zn6,hollow|A_B_B|FCC,3.375789315,-0.73428382,0.73428382
Ag6Nb6,hollow|A_A_B|FCC,3.373781115,-0.736292020000001,0.736292020000001
Ag6Pd6,hollow|A_B_B|HCP,3.373778258,-0.736294877,0.736294877
Rh6Sc6,bridge|B_B|A,3.371693186,-0.738379949000001,0.738379949000001
Au6Pd6,bridge|A_A|B,4.848521112,0.738447977,0.738447977
Co6Ir6,top|B,3.364652784,-0.745420351,0.745420351
Au6Ir6,hollow|A_A_B|FCC,3.363898485,-0.74617465,0.74617465
Au6Cu6,hollow|A_B_B|FCC,4.85933478,0.749261645,0.749261645
Au6Pd6,hollow|A_B_B|HCP,3.356649236,-0.753423899,0.753423899
Fe6Zn6,hollow|A_B_B|HCP,3.356291815,-0.75378132,0.75378132
Cr6Nb6,top|B,4.864725899,0.754652763999999,0.754652763999999
Cd6Ta6,hollow|A_A_B|HCP,3.351637716,-0.758435419,0.758435419
Ag6Ru6,hollow-tilt|A_A_B|FCC,3.348749499,-0.761323636,0.761323636
Cd6Ta6,hollow|A_A_B|FCC,3.347027971,-0.763045164,0.763045164
Ag6Ru6,top|B,3.344863305,-0.76520983,0.76520983
Au6Pd6,hollow|A_B_B|FCC,3.340832483,-0.769240652000001,0.769240652000001
Ag6V6,hollow|A_A_B|HCP,3.338592714,-0.771480421000001,0.771480421000001
Cr6Ta6,top|B,4.881682537,0.771609401999999,0.771609401999999
Co6Os6,top|B,3.338202503,-0.771870632,0.771870632
Au6Rh6,hollow|A_A_B|FCC,3.33130673,-0.778766405,0.778766405
Au12,hollow|A_A_A|HCP,4.896599954,0.786526819,0.786526819
Au6V6,hollow|A_A_B|FCC,3.321192939,-0.788880196000001,0.788880196000001
Hg6Ir6,top|B,3.320889804,-0.789183331,0.789183331
Au6Rh6,hollow|A_A_B|HCP,3.318976164,-0.791096971,0.791096971
Cd6Nb6,hollow|A_A_B|FCC,3.311658886,-0.798414249,0.798414249
Hg6Y6,hollow|A_B_B|HCP,3.292448058,-0.817625077,0.817625077
Hg6Y6,hollow|A_B_B|FCC,3.287039523,-0.823033612000001,0.823033612000001
Pd6Ti6,hollow|A_A_B|FCC,3.282302837,-0.827770298,0.827770298
Cu6Zr6,top|B,4.938399905,0.828326769999999,0.828326769999999
Cu6Ru6,top|B,3.274778209,-0.835294926,0.835294926
Cd6V6,hollow-tilt|A_A_B|FCC,3.270706706,-0.839366429,0.839366429
Ag6Au6,hollow|A_B_B|FCC,4.950667341,0.840594206,0.840594206
Cd6Pt6,bridge|B_B|A,3.265591918,-0.844481217,0.844481217
Tc6Zn6,hollow|A_B_B|HCP,3.262812003,-0.847261132,0.847261132
Au6Mo6,hollow|A_A_B|HCP,3.260197534,-0.849875601,0.849875601
Co6Cu6,hollow|A_B_B|FCC,3.253120805,-0.85695233,0.85695233
Co6Cu6,hollow|A_B_B|HCP,3.249817071,-0.860256064000001,0.860256064000001
La12,top|A,4.97246502,0.862391884999999,0.862391884999999
Au6W6,hollow|A_A_B|HCP,3.245683526,-0.864389609,0.864389609
Ag6V6,hollow-tilt|A_A_B|FCC,3.242404962,-0.867668173,0.867668173
