surface,LC,MV,EN,IE,EA,SE,DBC,DBW,DBF,DOS,WF,CN,GCN,VE,RxnE
Ag6Fe6,347.59,8.68,1.83,7.9024681,0.151,360.8,-1.306345465,1.185049544,0.51277797,10.143,4.67369875,2,7.33,8,2.467728565
Ag6Fe6,347.59,8.68,1.89607379450713,7.6849787,0.918333333333333,297.8,-3.345853316,0.952816551,0.502235105,10.143,4.67369875,3,6.95454545454545,9.8921748864974,3.543872401
Ag6Fe6,347.59,8.68,1.89607379450713,7.6849787,0.918333333333333,297.8,-3.345988136,0.952711371,0.502235885,10.143,4.67369875,3,7.5,9.8921748864974,3.546400474
Ag6Hf6,364.085,11.855,1.69181416473248,7.325846,0.872666666666667,396.033333333333,-3.528367422,3.120106339,0.84312825,14.21,4.304675925,3,7.5,7.85142441053969,3.821319126
Ag6Hf6,364.085,11.855,1.69181416473248,7.325846,0.872666666666667,396.033333333333,-3.528027406,3.120357053,0.84308148,14.21,4.304675925,3,6.95454545454545,7.85142441053969,3.696152203
Ag6Hf6,364.085,11.855,1.48302340310334,7.075458,0.443333333333333,525.766666666667,-2.11416771,3.869883752,0.662972585,14.21,4.304675925,3,7.5,5.60407866131077,2.068734574
Ag6Hf6,364.085,11.855,1.48302340310334,7.075458,0.443333333333333,525.766666666667,-2.114171519,3.869883564,0.662973004,14.21,4.304675925,3,6.95454545454545,5.60407866131077,2.212417347
Ag6Hg6,354.515,12.18,1.97638902446748,9.48374733333333,0.434,129.76,-5.746453523,1.515493286,0.993298146,4.656,4.475737215,3,6.95454545454545,11.6569533665029,5.556749351
Ag6Ir6,396.215,9.395,2.2,8.96702,1.5638,586,-1.666928087,1.926292245,0.808669261,21.28,5.158494312,2,7.33,9,1.744027253
Ag6Ir6,396.215,9.395,2.01610168662781,8.03982933333333,1.38926666666667,372.866666666667,-3.095785578,1.789270906,0.927276173,21.28,5.158494312,3,6.95454545454545,10.2882764781018,3.398978585
Ag6Ir6,396.215,9.395,2.01610168662781,8.03982933333333,1.38926666666667,372.866666666667,-3.095754346,1.789311339,0.927271146,21.28,5.158494312,3,7.5,10.2882764781018,3.12616242
Ag6La6,392.865,16.33,1.1,5.5769,0.47,406.2,-0.60161169,2.831085348,0.470485231,11,3.289233177,1,7.5,3,5.766888718
Ag6La6,392.865,16.33,1.32672493985201,6.24334466666667,0.747333333333333,359.566666666667,-2.877829251,2.983707886,0.764844986,11,3.289233177,3,6.95454545454545,4.62606500918274,2.805203603
Ag6La6,392.865,16.33,1.45705181788432,6.576567,0.886,336.25,-3.511081343,2.703144524,0.846740789,11,3.289233177,5,7.615384615,5.74456264653803,1.917778197
Ag6Mn6,649.89,8.81,1.55,7.434038,0,233.2,-1.225618267,1.229360858,0.51389172,4.8068,4.303706683,2,7.33,7,3.62682576
Ag6Mo6,361.615,9.825,2.00380807800241,7.414966,1.11733333333333,389.533333333333,-2.991993427,2.897886248,0.856405119,15.52,5.030215853,3,7.5,8.98763734707568,3.189311198
Ag6Mo6,361.615,9.825,2.00380807800241,7.414966,1.11733333333333,389.533333333333,-2.991827155,2.897777471,0.856374372,15.52,5.030215853,3,6.95454545454545,8.98763734707568,2.919558491
Ag6Mo6,361.615,9.825,2.08043876345477,7.253698,0.932666666666666,512.766666666667,-1.865956759,3.478965976,0.717015432,15.52,5.030215853,3,7.5,7.34342046204996,1.836787187
Ag6Mo6,361.615,9.825,2.08043876345477,7.253698,0.932666666666666,512.766666666667,-1.865965929,3.478967801,0.71701586,15.52,5.030215853,3,6.95454545454545,7.34342046204996,1.929447935
Ag6Mo6,361.615,9.825,2.00380807800241,7.414966,1.11733333333333,389.533333333333,-2.991827155,2.897777471,0.856374372,15.52,5.030215853,3,6.95454545454545,8.98763734707568,2.91946298
Ag6Nb6,369.285,10.55,1.81305731573497,7.30377266666667,1.17333333333333,416.466666666667,-3.279536272,2.966174414,0.854832342,10.67,4.670781998,3,7.5,8.45769055811492,3.395911317
Ag6Nb6,369.285,10.55,1.81305731573497,7.30377266666667,1.17333333333333,416.466666666667,-3.27939192,2.966280667,0.854811669,10.67,4.670781998,3,6.95454545454545,8.45769055811492,3.373781115
Ag6Nb6,369.285,10.55,1.7032004301244,7.03131133333333,1.04466666666667,566.633333333333,-1.996539288,3.555069814,0.704179326,10.67,4.670781998,3,7.5,6.50295723425693,2.097416461
Ag6Nb6,369.285,10.55,1.7032004301244,7.03131133333333,1.04466666666667,566.633333333333,-1.996541086,3.555067497,0.704179929,10.67,4.670781998,3,6.95454545454545,6.50295723425693,2.128556624
Ag6Ni6,380.465,8.43,1.91,7.639878,1.156,395.2,-0.920123825,0.838462876,0.475793285,9.276,4.947447967,2,7.33,10,2.543948195
Ag6Ni6,380.465,8.43,1.92331017162626,7.59744866666667,1.25333333333333,309.266666666667,-2.954088451,1.273628947,0.486713903,9.276,4.947447967,3,6.95454545454545,10.6560223676661,4.164549237
Ag6Ni6,380.465,8.43,1.92331017162626,7.59744866666667,1.25333333333333,309.266666666667,-2.954082733,1.273584871,0.486714831,9.276,4.947447967,3,7.5,10.6560223676661,4.149397938
Ag6Os6,340.985,9.345,2.2,8.43823,1.1,661,-1.624866736,3.992179336,0.6994805,8.452,4.996427186,1,7.5,8,3.875474542
Ag6Os6,340.985,9.345,2.2,8.43823,1.1,661,-1.625562052,3.99360583,0.699476326,8.452,4.996427186,2,7.33,8,2.434752313
Ag6Os6,340.985,9.345,2.01610168662781,7.863566,1.23466666666667,397.866666666667,-3.209606538,2.989798421,0.891422406,8.452,4.996427186,3,6.95454545454545,9.8921748864974,3.930431878
Ag6Pd6,398.8,9.415,1.93,7.576234,1.302,266.3,-3.533080415,1.148527553,0.986249993,2.146,5.034559961,1,7.5,11,7.029893944
Ag6Pd6,398.8,9.415,2.2,8.336839,0.562,396.7,-1.408819223,1.303921614,0.943049323,2.146,5.034559961,2,7.33,10,3.440907517
Ag6Pd6,398.8,9.415,2.01610168662781,7.829769,1.05533333333333,309.766666666667,-2.827955297,1.56405644,0.971910199,2.146,5.034559961,3,7.5,10.6560223676661,4.602759457
Ag6Pd6,398.8,9.415,2.01610168662781,7.829769,1.05533333333333,309.766666666667,-2.82795677,1.564059835,0.971910049,2.146,5.034559961,3,6.95454545454545,10.6560223676661,4.541566089
Ag6Pd6,398.8,9.415,2.10604456519353,8.083304,0.808666666666666,353.233333333333,-2.119857797,1.605469829,0.95751042,2.146,5.034559961,3,7.5,10.3228011545637,3.373778258
Ag6Pt6,400.475,9.68,1.93,7.576234,1.302,266.3,-3.569569492,1.206988061,0.984667054,4.655,5.261087206,1,7.5,11,7.272798539
Ag6Pt6,400.475,9.68,2.28,8.95883,2.128,510,-1.728603472,1.638540765,0.917447519,4.655,5.261087206,2,7.33,10,2.499578673
Ag6Pt6,400.475,9.68,2.04024891234185,8.03709933333333,1.57733333333333,347.533333333333,-2.95991529,1.616846548,0.962408737,4.655,5.261087206,3,6.95454545454545,10.6560223676661,4.062552534
Ag6Pt6,400.475,9.68,2.15679566026534,8.49796466666667,1.85266666666667,428.766666666667,-2.346302569,1.740209926,0.940007788,4.655,5.261087206,3,7.5,10.3228011545637,2.495111516
Ag6Pt6,400.475,9.68,2.15679566026534,8.49796466666667,1.85266666666667,428.766666666667,-2.346294788,1.740219415,0.94000718,4.655,5.261087206,3,6.95454545454545,10.3228011545637,2.498024631
Ag6Pt6,400.475,9.68,2.04024891234185,8.03709933333333,1.57733333333333,347.533333333333,-2.959939418,1.616819809,0.962410274,4.655,5.261087206,3,7.5,10.6560223676661,4.070313629
Ag6Re6,342.315,9.565,1.9,7.83352,0.15,738,-0.895992586,4.134986567,0.627753805,22.25,5.240411354,2,7.33,7,1.434722255
Ag6Re6,342.315,9.565,1.90994782529736,7.747758,0.534,580.766666666667,-1.945361225,3.801613508,0.750515248,22.25,5.240411354,3,6.95454545454545,8.1382230443977,1.517061182
Ag6Re6,342.315,9.565,1.91994773439902,7.661996,0.918,423.533333333333,-2.960065325,3.131115527,0.869217355,22.25,5.240411354,3,6.95454545454545,9.4615249029094,2.865587569
Ag6Rh6,394.435,9.275,2.28,7.4589,1.137,516.7,-1.248226509,2.191831222,0.839658407,27.47,5.070071192,2,7.33,9,1.907733523
Ag6Rh6,394.435,9.275,2.04024891234185,7.53712266666667,1.247,349.766666666667,-2.910288226,2.141771131,0.937343401,27.47,5.070071192,3,6.95454545454545,10.2882764781018,3.538365089
Ag6Rh6,394.435,9.275,2.04024891234185,7.53712266666667,1.247,349.766666666667,-2.910268644,2.141783728,0.937339449,27.47,5.070071192,3,7.5,10.2882764781018,3.440840986
Ag6Ru6,339.56,9.22,2.2,7.3605,1.05,605.7,-1.352425108,3.071783877,0.713795946,13.38,5.018452251,1,7.5,8,3.344863305
Ag6Ru6,339.56,9.22,2.2,7.3605,1.05,605.7,-1.352322888,3.071719788,0.713778939,13.38,5.018452251,2,7.33,8,2.11848365
Ag6Ru6,339.56,9.22,2.10604456519353,7.43241133333333,1.134,492.566666666667,-2.213346858,2.93356093,0.805442463,13.38,5.018452251,3,6.95454545454545,8.89592036227726,2.117695881
Ag6Ru6,339.56,9.22,2.01610168662781,7.50432266666667,1.218,379.433333333333,-3.064790929,2.515346611,0.896074225,13.38,5.018452251,3,6.95454545454545,9.8921748864974,3.348749499
Ag6Sc6,369.715,12.635,1.52831089312838,6.899738,0.559333333333333,311.433333333333,-2.282993786,2.927886606,0.611317115,19.02,3.820802265,3,7.5,4.62606500918274,2.723424823
Ag6Sc6,369.715,12.635,1.62012345208629,7.068862,0.745,300.15,-3.106486359,2.786784267,0.731857235,19.02,3.820802265,5,7.615384615,5.74456264653803,1.677475011
Ag6Ta6,369.33,10.56,1.77446985423883,7.56734633333333,0.975333333333333,434.533333333333,-3.00798947,3.759132542,0.797910285,6.743,4.753701215,3,7.5,8.45769055811492,3.430066502
Ag6Ta6,369.33,10.56,1.77446985423883,7.56734633333333,0.975333333333333,434.533333333333,-3.008344118,3.758839841,0.797949365,6.743,4.753701215,3,6.95454545454545,8.45769055811492,3.440241247
Ag6Ta6,369.33,10.56,1.63147319357636,7.55845866666667,0.648666666666667,602.766666666667,-1.439522817,4.309868124,0.612170805,6.743,4.753701215,3,7.5,6.50295723425693,1.793768166
Ag6Ta6,369.33,10.56,1.63147319357636,7.55845866666667,0.648666666666667,602.766666666667,-1.439499436,4.309877851,0.612168253,6.743,4.753701215,3,6.95454545454545,6.50295723425693,1.763020254
Ag6Tc6,341.015,9.45,1.9,7.11938,0.55,573,-0.899835265,3.579359009,0.641062473,9.099,5.120100074,2,7.33,7,1.942400146
Ag6Tc6,341.015,9.45,1.90994782529736,7.27166466666667,0.800666666666667,470.766666666667,-1.932774444,3.371074439,0.759260151,9.099,5.120100074,3,6.95454545454545,8.1382230443977,1.95520283
Ag6Tc6,341.015,9.45,1.91994773439902,7.42394933333333,1.05133333333333,368.533333333333,-2.93673867,2.812860249,0.874122093,9.099,5.120100074,3,6.95454545454545,9.4615249029094,2.964223665
Ag6Ti6,351.805,10.455,1.79010475547684,7.32686266666667,0.894333333333333,325.433333333333,-3.41737331,2.576197575,0.843958054,26.85,4.340256564,3,7.5,7.85142441053969,3.727911697
Ag6Ti6,351.805,10.455,1.79010475547684,7.32686266666667,0.894333333333333,325.433333333333,-3.417338499,2.576210321,0.843953617,26.85,4.340256564,3,6.95454545454545,7.85142441053969,3.489275072
Ag6Ti6,351.805,10.455,1.66034975936829,7.07749133333333,0.486666666666667,384.566666666667,-1.969583907,2.990578726,0.66275032,26.85,4.340256564,3,7.5,5.60407866131077,2.041283185
Ag6Ti6,351.805,10.455,1.66034975936829,7.07749133333333,0.486666666666667,384.566666666667,-1.969607835,2.990582227,0.662753162,26.85,4.340256564,3,6.95454545454545,5.60407866131077,2.212329591
Ag6V6,355.765,9.295,1.63,6.746187,0.525,475.8,-0.354375246,2.868622316,0.529882707,22.89,4.760307594,2,7.33,5,2.044353718
Ag6V6,355.765,9.295,1.82431883004512,7.29955166666667,1.043,336.133333333333,-3.253486358,2.599795424,0.863090838,22.89,4.760307594,3,7.5,8.45769055811492,3.338592714
Ag6V6,355.765,9.295,1.72442445267212,7.02286933333333,0.784,405.966666666667,-1.949394296,3.082188338,0.713207064,22.89,4.760307594,3,7.5,6.50295723425693,1.993154955
Ag6V6,355.765,9.295,1.82431883004512,7.29955166666667,1.043,336.133333333333,-3.25358021,2.599591009,0.863109948,22.89,4.760307594,3,6.95454545454545,8.45769055811492,3.242404962
Ag6W6,362.525,9.87,2.06383769480692,7.672166,1.14008666666667,455.866666666667,-3.108068856,3.221766639,0.85453764,22.34,5.102995171,3,7.5,8.98763734707568,3.113981108
Ag6W6,362.525,9.87,2.06383769480692,7.672166,1.14008666666667,455.866666666667,-3.108059415,3.221730189,0.854537909,22.34,5.102995171,3,6.95454545454545,8.98763734707568,2.9551669
Ag6W6,362.525,9.87,2.20695649249013,7.768098,0.978173333333333,645.433333333333,-1.965734921,3.949288216,0.714845232,22.34,5.102995171,3,7.5,7.34342046204996,1.599692766
Ag6W6,362.525,9.87,2.20695649249013,7.768098,0.978173333333333,645.433333333333,-1.965739275,3.949291094,0.714845473,22.34,5.102995171,3,6.95454545454545,7.34342046204996,1.563092911
Ag6Y6,386.635,15.075,1.93,7.576234,1.302,266.3,-4.770110433,1.432772276,0.986198507,8.812,3.582608877,1,7.5,11,5.783039763
Ag6Y6,386.635,15.075,1.22,6.21726,0.307,391.4,-0.055289811,2.667318132,0.314134059,8.812,3.582608877,1,7.5,3,6.011974578
Ag6Y6,386.635,15.075,1.22,6.21726,0.307,391.4,-0.056268904,2.667587411,0.314308393,8.812,3.582608877,2,7.33,3,2.860196858
Ag6Y6,386.635,15.075,1.42153969076752,6.67025133333333,0.638666666666667,349.7,-2.357019845,3.193324554,0.642239611,8.812,3.582608877,3,6.95454545454545,4.62606500918274,3.006130829
Ag6Y6,386.635,15.075,1.53447059274526,6.896747,0.8045,328.85,-3.148480651,2.968010919,0.755056087,8.812,3.582608877,5,7.615384615,5.74456264653803,1.843642143
Ag6Zn6,337.51,9.715,1.65,9.394197,0,126.35,-7.122105307,0.684009816,0.997780353,3.599,4.616971779,2,7.33,12,3.950400135
Ag6Zn6,337.51,9.715,1.78451674130561,8.4852155,0.651,196.325,-5.762847097,1.669650811,0.990681613,3.599,4.616971779,5,7.615384615,11.4891252930761,5.081134361
Ag6Zr6,365.865,12.145,1.70472927650953,7.262198,1.01,377.866666666667,-3.442807148,2.885957736,0.84897484,19.31,4.207015591,3,7.5,7.85142441053969,3.787972936
Ag6Zr6,365.865,12.145,1.70472927650953,7.262198,1.01,377.866666666667,-3.442478073,2.88620852,0.848923215,19.31,4.207015591,3,6.95454545454545,7.85142441053969,3.650004009
Ag6Zr6,365.865,12.145,1.50575228299932,6.948162,0.718,489.433333333333,-2.05058128,3.480296719,0.675258298,19.31,4.207015591,3,7.5,5.60407866131077,2.175398028
Ag6Zr6,365.865,12.145,1.50575228299932,6.948162,0.718,489.433333333333,-2.050575483,3.480291424,0.675258626,19.31,4.207015591,3,6.95454545454545,5.60407866131077,2.335432939
Au12,407.82,10.21,2.54,9.225554,2.30863,342.5,-3.239426153,1.406590579,0.974485182,1.182,5.426721805,1,7.5,11,6.525164134
Au12,407.82,10.21,2.54,9.225554,2.30863,342.5,-3.239449459,1.406481978,0.974489352,1.182,5.426721805,3,7.5,11,4.896599954
Au12,407.82,10.21,2.54,9.225554,2.30863,342.5,-3.239430288,1.406537468,0.97448698,1.182,5.426721805,3,6.95454545454545,11,4.7414235
Au6Cd6,352.88,11.605,2.54,9.225554,2.30863,342.5,-3.606229575,1.27483433,0.97948399,1.166,4.634060417,2,7.33,11,4.577755189
Au6Cd6,352.88,11.605,1.93583813931492,9.07106466666667,0.769543333333333,185.033333333333,-6.961471799,2.601346495,0.991402144,1.166,4.634060417,3,7.5,11.6569533665029,5.336980418
Au6Co6,329.265,8.44,1.88,7.88101,0.662,391.2,-1.431780002,1.058037363,0.492800818,9.621,5.131132189,1,7.5,9,4.107061106
Au6Co6,329.265,8.44,1.88,7.88101,0.662,391.2,-1.431682418,1.05817847,0.492799193,9.621,5.131132189,2,7.33,9,2.670142893
Au6Co6,329.265,8.44,2.29760355307836,8.77737266666667,1.75975333333333,358.733333333333,-2.996437821,1.434561513,0.491176414,9.621,5.131132189,3,6.95454545454545,10.2882764781018,3.692672275
Au6Co6,329.265,8.44,2.29760355307836,8.77737266666667,1.75975333333333,358.733333333333,-2.99651241,1.434446691,0.491178021,9.621,5.131132189,3,7.5,10.2882764781018,3.721917574
Au6Cr6,349.41,8.72,1.91286049279836,7.58619133333333,1.21354333333333,353.833333333333,-1.891774716,3.69642123,0.732185394,22.12,5.058614798,3,6.95454545454545,7.34342046204996,2.722000035
Au6Cu6,384.655,8.66,1.9,7.72638,1.235,313.1,-2.109825709,1.033011096,0.97875592,3.059,5.135274772,2,7.33,11,4.393660381
Au6Cu6,384.655,8.66,2.30572236101145,8.72582933333333,1.95075333333333,332.7,-3.090140423,1.502463438,0.975496611,3.059,5.135274772,3,7.5,11,4.774783976
Au6Cu6,384.655,8.66,2.30572236101145,8.72582933333333,1.95075333333333,332.7,-3.0901497,1.502461911,0.975496613,3.059,5.135274772,3,6.95454545454545,11,4.695627013
Au6Cu6,384.655,8.66,2.09305338821582,8.22610466666667,1.59287666666667,322.9,-2.599119575,1.378939023,0.977127962,3.059,5.135274772,3,6.95454545454545,11,4.85933478
Au6Fe6,347.235,8.65,1.83,7.9024681,0.151,360.8,-1.418647339,1.111439874,0.512569511,11.347,4.955491913,2,7.33,8,2.855930113
Au6Fe6,347.235,8.65,2.27705143624203,8.78452536666667,1.58942,348.6,-3.126346317,0.948101288,0.500592626,11.347,4.955491913,3,7.5,9.8921748864974,3.770444179
Au6Fe6,347.235,8.65,2.27705143624203,8.78452536666667,1.58942,348.6,-3.126253715,0.94820879,0.500588568,11.347,4.955491913,3,6.95454545454545,9.8921748864974,3.663073909
Au6Hf6,363.73,11.825,1.62519997538966,7.62523133333333,0.778876666666667,551.166666666667,-2.148102542,3.867025466,0.657804468,16.17,4.415486609,3,7.5,5.60407866131077,2.119875921
Au6Hf6,363.73,11.825,1.62519997538966,7.62523133333333,0.778876666666667,551.166666666667,-2.148081731,3.867064494,0.657796566,16.17,4.415486609,3,6.95454545454545,5.60407866131077,2.151416228
Au6Ir6,395.86,9.365,2.42119650324009,9.139376,2.06035333333333,423.666666666667,-2.789526892,1.891813945,0.915563851,22.26,5.582955833,3,6.95454545454545,10.2882764781018,3.363898485
Au6La6,392.51,16.3,1.45391727135548,6.793118,1.08287666666667,384.966666666667,-2.827602848,3.352718058,0.760981496,10.76,3.306310049,3,6.95454545454545,4.62606500918274,3.13598641
Au6La6,392.51,16.3,1.67152624867215,7.401227,1.389315,374.35,-3.385087124,3.096605561,0.841877999,10.76,3.306310049,5,7.615384615,5.74456264653803,2.502123618
Au6Mn6,649.535,8.78,1.55,7.434038,0,233.2,-1.20324684,1.119730024,0.513745201,4.6373,4.513947768,2,7.33,7,4.14713572
Au6Mo6,361.26,9.795,2.40643274285367,8.51451266666667,1.78842,440.333333333333,-2.903690529,3.093252939,0.8428221,14.49,5.194921448,3,7.5,8.98763734707568,3.260197534
Au6Mo6,361.26,9.795,2.40643274285367,8.51451266666667,1.78842,440.333333333333,-2.903643265,3.093155705,0.842806713,14.49,5.194921448,3,6.95454545454545,8.98763734707568,2.978262698
Au6Mo6,361.26,9.795,2.27988919129065,7.80347133333333,1.26821,538.166666666667,-1.857966163,3.450141143,0.706946469,14.49,5.194921448,3,7.5,7.34342046204996,1.750476895
Au6Mo6,361.26,9.795,2.27988919129065,7.80347133333333,1.26821,538.166666666667,-1.85797835,3.450154181,0.706946124,14.49,5.194921448,3,6.95454545454545,7.34342046204996,2.011049025
Au6Nb6,368.93,10.52,2.17735447678427,8.40331933333333,1.84442,467.266666666667,-3.220864604,3.205589941,0.842957309,8.329,4.763288304,3,6.95454545454545,8.45769055811492,3.449734482
Au6Nb6,368.93,10.52,1.86648524313878,7.58108466666667,1.38021,592.033333333333,-2.027373911,3.590540861,0.69527739,8.329,4.763288304,3,7.5,6.50295723425693,2.011710398
Au6Nb6,368.93,10.52,1.86648524313878,7.58108466666667,1.38021,592.033333333333,-2.027360745,3.590541973,0.695275857,8.329,4.763288304,3,6.95454545454545,6.50295723425693,2.174260729
Au6Ni6,380.11,8.4,1.91,7.639878,1.156,395.2,-0.921301604,0.882634079,0.474653459,20.238,5.280112986,2,7.33,10,2.659127452
Au6Ni6,380.11,8.4,2.30976041192474,8.69699533333333,1.92442,360.066666666667,-2.634161912,1.262361374,0.482913526,20.238,5.280112986,3,7.5,10.6560223676661,3.872778711
Au6Ni6,380.11,8.4,2.30976041192474,8.69699533333333,1.92442,360.066666666667,-2.634302889,1.262243496,0.482907377,20.238,5.280112986,3,6.95454545454545,10.6560223676661,3.846388566
Au6Pd6,398.445,9.385,2.54,9.225554,2.30863,342.5,-2.934442897,1.398300077,0.974936721,11.87,5.49402366,2,7.33,11,4.848521112
Au6Pd6,398.445,9.385,2.42119650324009,8.92931566666667,1.72642,360.566666666667,-2.431799662,1.575362968,0.963238572,11.87,5.49402366,3,7.5,10.6560223676661,4.071214462
Au6Pd6,398.445,9.385,2.42119650324009,8.92931566666667,1.72642,360.566666666667,-2.431818275,1.575340528,0.963240105,11.87,5.49402366,3,6.95454545454545,10.6560223676661,3.982553379
Au6Pd6,398.445,9.385,2.30794980602443,8.63307733333333,1.14421,378.633333333333,-1.928386048,1.581985374,0.951518064,11.87,5.49402366,3,7.5,10.3228011545637,3.356649236
Au6Pd6,398.445,9.385,2.30794980602443,8.63307733333333,1.14421,378.633333333333,-1.92841096,1.581968148,0.951519695,11.87,5.49402366,3,6.95454545454545,10.3228011545637,3.340832483
Au6Pt6,400.12,9.65,2.45019562508477,9.136646,2.24842,398.333333333333,-2.612607692,1.687598606,0.951770276,9.496,5.729870974,3,7.5,10.6560223676661,3.771930465
Au6Pt6,400.12,9.65,2.45019562508477,9.136646,2.24842,398.333333333333,-2.612593098,1.68762955,0.951768179,9.496,5.729870974,3,6.95454545454545,10.6560223676661,3.655307235
Au6Pt6,400.12,9.65,2.36356637841912,9.047738,2.18821,454.166666666667,-2.184600858,1.764520137,0.932029548,9.496,5.729870974,3,7.5,10.3228011545637,2.623943949
Au6Pt6,400.12,9.65,2.36356637841912,9.047738,2.18821,454.166666666667,-2.184613883,1.764525406,0.932030068,9.496,5.729870974,3,6.95454545454545,10.3228011545637,2.642833956
Au6Re6,341.96,9.535,2.30572236101145,8.76154266666667,1.58908666666667,474.333333333333,-2.752556316,3.375687765,0.85898788,16.22,5.412226415,3,6.95454545454545,9.4615249029094,4.063611601
Au6Rh6,394.08,9.245,2.45019562508477,8.63666933333333,1.91808666666667,400.566666666667,-2.590850382,2.338659693,0.92441109,25.29,5.48930223,3,7.5,10.2882764781018,3.318976164
Au6Rh6,394.08,9.245,2.45019562508477,8.63666933333333,1.91808666666667,400.566666666667,-2.590779975,2.338655388,0.924408419,25.29,5.48930223,3,6.95454545454545,10.2882764781018,3.33130673
Au6Rh6,394.08,9.245,2.36356637841912,8.04778466666667,1.52754333333333,458.633333333333,-1.926285669,2.373952637,0.875995147,25.29,5.48930223,3,7.5,9.62260298998748,1.984283228
Au6Rh6,394.08,9.245,2.36356637841912,8.04778466666667,1.52754333333333,458.633333333333,-1.926311391,2.373991202,0.875994656,25.29,5.48930223,3,6.95454545454545,9.62260298998748,2.041484006
Au6Ru6,339.205,9.19,2.2,7.3605,1.05,605.7,-1.436821935,3.176541363,0.708558068,12.3,5.259663251,2,7.33,8,2.567540193
Au6Ru6,339.205,9.19,2.30794980602443,7.98218466666667,1.46954333333333,517.966666666667,-2.106792022,3.043371649,0.797118519,12.3,5.259663251,3,6.95454545454545,8.89592036227726,2.567829858
Au6Sc6,369.36,12.605,1.36,6.56149,0.188,334,-0.100357983,2.237455983,0.282256128,6.881,3.870282595,2,7.33,3,2.992041999
Au6Sc6,369.36,12.605,1.67482915016879,7.44951133333333,0.894876666666666,336.833333333333,-2.179406237,3.007190565,0.609165408,6.881,3.870282595,3,6.95454545454545,4.62606500918274,2.868203807
Au6Sc6,369.36,12.605,1.85860162487823,7.893522,1.248315,338.25,-2.931098137,2.893943337,0.727351077,6.881,3.870282595,5,7.615384615,5.74456264653803,2.019211488
Au6Ta6,368.975,10.53,2.13101364612922,8.666893,1.64642,485.333333333333,-2.906513412,4.018269446,0.785083713,7.511,4.869834068,3,7.5,8.45769055811492,3.598553405
