surface,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy,d-Band_Center,d-Band_Width,d-Band_Filling,DOS at Fermi Energy,Work Function,CN,GCN,Valence Electrons,reaction energy (eV),site,Beta
Ag6Pt6,400.475,9.68,2.04024891234185,8.03709933333333,1.57733333333333,347.533333333333,-2.95991529,1.616846548,0.962408737,4.655,5.261087206,3,6.95454545454545,10.6560223676661,1.845480135,hollow|A_A_B|FCC,1
Ag6Pt6,400.475,9.68,2.15679566026534,8.49796466666667,1.85266666666667,428.766666666667,-2.346302569,1.740209926,0.940007788,4.655,5.261087206,3,7.5,10.3228011545637,1.267181493,hollow|A_B_B|HCP,1
Ag6Pt6,400.475,9.68,2.15679566026534,8.49796466666667,1.85266666666667,428.766666666667,-2.346294788,1.740219415,0.94000718,4.655,5.261087206,3,6.95454545454545,10.3228011545637,1.338576953,hollow|A_B_B|FCC,1
Ag6Re6,342.315,9.565,1.9,7.83352,0.15,738,-0.895943514,4.134634647,0.627762759,22.25,5.240411354,1,7.5,7,-0.496411289,top|B,1
Ag6Re6,342.315,9.565,1.9,7.83352,0.15,738,-0.895992586,4.134986567,0.627753805,22.25,5.240411354,2,7.33,7,-1.01023283,bridge|B_B|B,1
Ag6Rh6,394.435,9.275,2.28,7.4589,1.137,516.7,-1.248226509,2.191831222,0.839658407,27.47,5.070071192,2,7.33,9,0.612177904,bridge|B_B|A,1
Ag6Rh6,394.435,9.275,2.04024891234185,7.53712266666667,1.247,349.766666666667,-2.910288226,2.141771131,0.937343401,27.47,5.070071192,3,6.95454545454545,10.2882764781018,1.549536608,hollow|A_A_B|FCC,1
Ag6Rh6,394.435,9.275,2.15679566026534,7.49801133333333,1.192,433.233333333333,-2.082913223,2.320742514,0.888719429,27.47,5.070071192,3,6.95454545454545,9.62260298998748,0.523464711,hollow|A_B_B|FCC,1
Ag6Rh6,394.435,9.275,2.04024891234185,7.53712266666667,1.247,349.766666666667,-2.910268644,2.141783728,0.937339449,27.47,5.070071192,3,7.5,10.2882764781018,1.345236803,hollow-tilt|A_A_B|HCP,1
Ag6Ru6,339.56,9.22,2.2,7.3605,1.05,605.7,-1.352322888,3.071719788,0.713778939,13.38,5.018452251,2,7.33,8,0.274504087,bridge|B_B|B,1
Ag6Ru6,339.56,9.22,2.10604456519353,7.43241133333333,1.134,492.566666666667,-2.213346858,2.93356093,0.805442463,13.38,5.018452251,3,6.95454545454545,8.89592036227726,0.082503011,hollow|A_B_B|FCC,1
Ag6Sc6,369.715,12.635,1.93,7.576234,1.302,266.3,-4.850804199,1.256517159,0.987202723,19.02,3.820802265,2,7.33,11,-3.026763317,bridge|A_A|B,1
Ag6Sc6,369.715,12.635,1.36,6.56149,0.188,334,0.012999224,1.91278356,0.275211664,19.02,3.820802265,2,7.33,3,-3.028793694,bridge|B_B|A,1
Ag6Ta6,369.33,10.56,1.93,7.576234,1.302,266.3,-4.499116262,2.311221339,0.974491789,6.743,4.753701215,2,7.33,11,-2.283985328,bridge|A_A|B,1
Ag6Ta6,369.33,10.56,1.5,7.549571,0.322,771,0.212409092,4.235393797,0.416541959,6.743,4.753701215,2,7.33,5,-2.283868999,bridge|B_B|A,1
Ag6Ta6,369.33,10.56,1.5,7.549571,0.322,771,0.212743717,4.235294203,0.416507399,6.743,4.753701215,1,7.5,5,-1.323366606,top-tilt|B,1
Ag6Ti6,351.805,10.455,1.54,6.82812,0.079,443.7,-0.07551561,2.373193277,0.425691403,26.85,4.340256564,2,7.33,4,-2.648170789,bridge|B_B|A,1
Ag6Ti6,351.805,10.455,1.79010475547684,7.32686266666667,0.894333333333333,325.433333333333,-3.417338499,2.576210321,0.843953617,26.85,4.340256564,3,6.95454545454545,7.85142441053969,-1.307117192,hollow-tilt|A_A_B|FCC,1
Ag6V6,355.765,9.295,1.63,6.746187,0.525,475.8,-0.354334565,2.868715421,0.529864582,22.89,4.760307594,1,7.5,5,-1.107157603,top|B,1
Ag6V6,355.765,9.295,1.63,6.746187,0.525,475.8,-0.354375246,2.868622316,0.529882707,22.89,4.760307594,2,7.33,5,-2.031020684,bridge|B_B|B,1
Ag6V6,355.765,9.295,1.63,6.746187,0.525,475.8,-0.354375246,2.868622316,0.529882707,22.89,4.760307594,2,7.33,5,-2.036006218,bridge|B_B|A,1
Ag6V6,355.765,9.295,1.63,6.746187,0.525,475.8,-0.354334565,2.868715421,0.529864582,22.89,4.760307594,1,7.5,5,-1.102376835,top-tilt|B,1
Ag6W6,362.525,9.87,1.93,7.576234,1.302,266.3,-4.137175657,1.856104759,0.980388286,22.34,5.102995171,1,7.5,11,-1.156093331,top|A,1
Ag6W6,362.525,9.87,2.36,7.86403,0.81626,835,-0.690598169,4.282216316,0.558905565,22.34,5.102995171,1,7.5,6,-1.169014793,top|B,1
Ag6W6,362.525,9.87,2.36,7.86403,0.81626,835,-0.690594927,4.282269048,0.558902525,22.34,5.102995171,2,7.33,6,-1.746280083,bridge|B_B|B,1
Ag6W6,362.525,9.87,1.93,7.576234,1.302,266.3,-4.137155708,1.856107151,0.980388608,22.34,5.102995171,2,7.33,11,-1.742035652,bridge|A_A|B,1
Ag6W6,362.525,9.87,2.36,7.86403,0.81626,835,-0.690594927,4.282269048,0.558902525,22.34,5.102995171,2,7.33,6,-1.757145997,bridge|B_B|A,1
Ag6Y6,386.635,15.075,1.93,7.576234,1.302,266.3,-4.770110433,1.432772276,0.986198507,8.812,3.582608877,1,7.5,11,1.879304702,top|A,1
Ag6Y6,386.635,15.075,1.22,6.21726,0.307,391.4,-0.055289811,2.667318132,0.314134059,8.812,3.582608877,1,7.5,3,-0.433011894,top|B,1
Ag6Y6,386.635,15.075,1.93,7.576234,1.302,266.3,-4.770086427,1.432712996,0.98620129,8.812,3.582608877,2,7.33,11,-2.968361564,bridge|A_A|B,1
Ag6Y6,386.635,15.075,1.22,6.21726,0.307,391.4,-0.056268904,2.667587411,0.314308393,8.812,3.582608877,2,7.33,3,-2.968642658,bridge|B_B|A,1
