Test Y,Predicted Y
-1.307117192,-1.1665417
0.59128582,0.4336207
-2.325890995,-2.3057175
-1.265933442,-0.71186537
-1.913569821,-2.4600866
-1.61738969,-1.5674076
-2.221630306,-2.3529644
0.844416181,0.33498353
-0.485609731,-0.6586625
1.145140749,1.0677781
-0.68120475,-0.49076372
0.467551984,0.1664301
-3.057821302,-2.61714
1.212680492,0.84493583
-1.66183486,-1.1702844
0.598425407,0.6945036
1.688520519,2.3957086
-2.71239741,-2.6196125
-0.129016518,-0.30856532
-2.712903269,-2.7032113
0.458768149,0.5708892
-0.636742573,-0.8122904
-1.384347725,-1.6260879
-0.482876483,-0.45699292
1.013833441,-0.065881565
0.175269884,0.23123257
0.775951931,0.18249817
-0.699858561,-0.573248
1.583280901,2.2572248
-2.088845147,-2.011885
-0.480626782,-0.03834051
-2.205710558,-2.1241262
-1.510095884,-2.1107724
-2.736375401,-2.6413777
-0.238246006,-0.10566446
-2.712903269,-2.7032113
-2.399009344,-2.1883752
2.339808257,2.7727976
0.297193347,0.44419354
-0.562751011,-0.8206
-2.450279537,-2.4613938
1.235581049,0.66423327
-3.195834856,-2.5465832
-2.22185167,-2.5286882
0.044027747,0.06942026
0.315182656,0.10585706
-2.271357341,-2.2052581
-2.14153972,-2.144916
0.307014479,0.7925759
-0.664937376,-0.663688
0.363732119,0.24789806
0.050415347,0.30647945
-1.731124023,-2.6117682
0.20430688,-0.18587604
-2.244728689,-2.2594433
-3.387287758,-3.4691367
-2.883247621,-2.8149025
0.401485737,0.3588621
-1.197254223,-1.6229916
-2.176317229,-2.4089446
-0.87165845,-0.5052362
-1.360659807,-1.466185
1.81761391,2.0218174
-2.912800816,-2.7650423
-2.51125399,-2.0788836
0.683898677,1.0476354
-2.817946014,-2.4818127
-1.732854395,-1.5465153
1.273132622,1.24544
-0.874203122,-0.86967164
-0.395771347,-0.69210285
-0.997681307,-0.9175077
-0.776859839,-0.68572086
2.078359785,1.0438042
-1.907569847,-1.8594785
-1.900167806,-1.8143119
-1.156093331,0.89710456
1.120118249,0.88861126
-2.829773578,-2.573241
-2.133923254,-2.2849183
0.564899757,0.43705457
0.03303394,0.12006323
-3.462855403,-3.0935624
-0.989242513,-1.1535802
-0.799731415,-0.33719206
-1.291290371,-1.338278
1.879304702,-0.33477283
-0.716398865,-0.5576738
-0.334788731,-0.17719609
-1.853767771,-1.7791731
0.481918914,0.46072942
0.368093424,0.4349234
-1.077344266,-0.48742157
-1.578433329,-1.393972
-2.07396501,-1.191468
-1.169014793,-1.2230471
-0.412319269,-0.34603667
0.624480715,0.08615135
-1.132670588,-0.807716
-1.103979041,-0.7958992
0.993629396,1.2938912
-1.353444709,-1.3756644
-0.720073626,-0.60046417
-1.679576682,-2.3272727
-3.192500236,-3.217968
0.867430209,0.39189893
-2.316857088,-2.2368546
-0.986876211,-0.89798486
0.604218574,-0.099655494
-2.155700388,-2.410078
-1.544233245,-1.4237809
0.840189165,0.618057
-0.231416493,-0.15100339
-1.653092658,-2.038065
2.66695712,2.4737031
0.805714382,0.42720854
-1.323366606,-0.93697506
-2.572140958,-2.754224
-1.953190956,-1.8150524
-2.633048742,-2.9164414
-1.911870198,-0.8018726
2.686780205,2.8724546
-2.869701522,-2.7629588
2.05663408,0.9418085
-0.467796887,-1.1873939
-3.60323213,-3.3159795
-2.150417026,-1.6426609
1.21518911,1.2541625
0.183127715,0.24451225
-0.843606778,-0.61037856
-2.301794362,-1.8387353
-1.949252244,-1.7357454
-2.66456143,-2.3286865
0.221765431,0.087770745
-2.445380263,-2.306431
-0.895436029,-0.88016623
-2.031020684,-2.1273746
-2.606100084,-2.1322422
-3.167489573,-2.557836
-3.571118343,-3.1354406
-1.929650252,-2.4301693
0.214804895,0.35429662
-3.353975037,-3.2029853
-2.498709814,-2.337124
-0.212418593,-0.5293418
-1.961156681,-2.1742468
0.718569653,0.8759777
-2.036006218,-2.1273746
-2.203050509,-2.0562732
-0.433011894,-0.18096998
-2.791306205,-2.762766
-0.179661257,0.18265717
-2.76353277,-3.0709112
-0.12866794,0.33847743
0.054769577,0.035897017
-2.155189902,-2.0368378
0.725065691,0.81278545
-1.608780552,-1.5393798
-0.913253091,-0.81301004
-0.087886783,-0.3449986
0.236160934,0.17760126
-3.093569849,-2.580942
