Psi, d-Band_Center, Surface
12.030075187969924,-0.507518037,Ni6Zr6
8.181818181818182,-0.856451333,Au6La6
72.0,-6.954224336,Hg6Zr6
12.030075187969924,-0.307414574,Au6Zr6
21.337430906902362,-0.621352222,Fe6Ta6
13.020941679900876,-0.997770726,W6Zr6
10.38961038961039,0.015628625,Ti6Zn6
7.377049180327869,-0.06516857,Cu6Y6
16.809235759598973,-3.352300379,Y6Zn6
10.38961038961039,-0.068991497,Hg6Ti6
17.432541789888955,-0.967334077,Fe6Hf6
16.600978549617626,-1.046276306,Mn6Zr6
17.259529468623047,-1.182397811,Rh6Zr6
12.030075187969924,-0.630333031,Pt6Zr6
18.19549901330199,-0.421365353,Cr6Ta6
8.181818181818182,-0.581934824,La6Zn6
16.692007240274222,-0.755130667,Co6Ti6
20.631016530128505,-0.628271336,Mn6Ta6
8.181818181818182,-0.623214245,Cu6La6
19.014143373974324,-1.29553727,Cu6Ti6
21.686746987951807,-0.74863813,Cr12
16.18189326809658,-0.420425244,Ta6W6
10.38961038961039,-0.175260413,Au6Ti6
20.067114596959645,-0.814205315,Ru6Ta6
21.686746987951807,-0.555761919,Cr6La6
17.214711168092972,-0.799018385,Cr6V6
15.309644355427741,-0.846053736,V6W6
11.973502929340034,-1.186873302,W6Y6
13.616557889864314,-0.919600571,Hf6Mo6
12.838708649660969,-1.402256483,La6Mn6
8.181818181818182,-0.766131911,La6Pd6
17.169402790800216,-0.989527244,Fe6Zr6
12.393965225580553,-1.447468159,La6W6
17.4292281512511,-0.962397091,Cr6Nb6
15.768287123744123,-0.838935591,Mo6V6
6.617647058823529,-0.01922238,Pd6Sc6
15.652470664229797,-1.112005837,Rh6Ti6
19.762178208631024,-1.09005646,Mn6Nb6
16.66666666666671,-0.421941241,Mo6Ta6
13.411020025256935,-0.727934579,Mo6Zr6
17.82809436610917,-0.692940394,Co6Y6
7.377049180327869,-0.120782149,Pd6Y6
19.222023995715745,-1.275677624,Nb6Ru6
16.39470165552261,-0.911329979,Hf6Ru6
19.277320124307515,-0.572261819,Ta6Tc6
12.030075187969924,-0.528517663,Co6Zr6
10.413975710736244,-0.962269287,Re6Sc6
16.147228542537114,-0.80826708,Ru6Zr6
17.73393856349673,-1.528208691,Hf6Ir6
16.666666666666668,0.274035122,Cd6Ta6
16.885556773006208,-0.55468441,Co6Sc6
16.311948504870283,-1.092630042,Mo6Nb6
62.69430051813472,-4.499116262,Ag6Ta6
15.749444726044826,-0.91535534,Hf6Tc6
15.749444726044826,-1.055999548,Hf6Re6
27.60469996255612,-1.247584603,Rh6Ta6
63.684210526315795,-2.973329331,Cu6Ta6
18.465490303158646,-1.096690504,Nb6Tc6
15.511711573222643,-0.898301763,Re6Zr6
20.067114596959645,-0.842609789,Os6Ta6
15.511711573222643,-0.804924461,Tc6Zr6
16.91567584871433,-1.235343926,Fe6La6
14.17677119312447,-0.77342401,Ni6Y6
16.666666666666668,0.163315003,Pd6Ta6
14.64373762506992,-0.825758445,Ru6Ti6
10.38961038961039,-0.378447048,Tc6Ti6
19.277320124307515,-0.612034656,Re6Ta6
16.39470165552261,-0.933250493,Hf6Os6
16.666666666666668,0.221425485,Ta6Zn6
15.254237288135593,-1.107980157,W12
14.067394525050904,-0.773104186,Re6Ti6
17.466250070347254,-1.463431261,Ir6Zr6
19.448306599975915,-1.421151439,Mn6W6
18.465490303158646,-1.128067322,Nb6Re6
16.147228542537114,-0.81367495,Os6Zr6
24.40926546724408,-0.483685975,Ni6Ta6
19.222023995715745,-1.326694583,Nb6Os6
18.985441482596283,-1.207570279,Ru6V6
21.64100005074942,-0.826922493,Co6V6
8.181818181818182,-1.025411942,La6Pt6
16.666666666666664,-1.045806248,Mo12
17.152409481785774,-1.325840052,Cr6W6
15.711220184404159,-1.28977234,Mo6W6
16.666666666666668,0.209003862,Hg6Ta6
18.238219121784766,-1.039380394,Tc6V6
