Valence Electrons,reaction energy (eV)
10.66666667,-0.1989061
10.33333333,-0.309619017
10.33333333,-0.199232365
11,-0.635279145
7,-0.634975602
9.666666667,-0.316595608
9.666666667,-0.231252408
7,-0.325535091
9,-0.305548466
10.33333333,-0.182255454
10.33333333,-0.116250433
9.666666667,-0.321869038
9.666666667,-0.321332021
8,-0.277813263
9.5,-0.161283505
10,-0.209186289
10,-0.075226007
9,-0.272088804
9,-0.261716913
11,-0.176534669
3,-0.708506339
8.333333333,-0.693021429
5.666666667,-0.697198377
5,0.032189707
5,-0.754445142
9,-0.194353092
9,-0.227586491
7,-0.750733645
7,-0.481917418
9.666666667,-0.258550596
9.666666667,-0.235693306
8.333333333,-0.481064885
8.333333333,-0.43921228
4,-0.654862225
8.666666667,-0.123118042
8.666666667,-0.300016936
6.333333333,-0.75827011
6.333333333,-0.629867345
5,0.162634822
5,-0.582067556
9,-0.278927161
9,-0.360918326
7,-0.659828031
7,-0.604741033
6,-0.746565813
9.333333333,-0.281724219
9.333333333,-0.26271353
11,0.084480054
3,0.302479566
11,-0.219243616
3,-0.704130749
5.666666667,-0.655979116
11,0.571488586
12,0.840482095
11,0.193186267
11.33333333,0.159172174
11.33333333,0.163326399
11.66666667,0.301313286
11.66666667,0.314807956
11,0.152191229
4,0.159728374
6.333333333,-0.800465306
7.5,-0.304628721
8,-0.299299916
4,0.500917222
8,-0.633305231
5.333333333,-0.850113292
8,0.378127485
8,-0.292996807
10,0.43377735
9,-0.086797648
8,-0.123334645
9,0.059911984
8.333333333,-0.168899971
8.333333333,-0.146219555
8.666666667,-0.136027531
8.666666667,-0.142410914
8,-0.269849715
3,0.650903241
8,-0.562840128
3,-0.163197145
4.666666667,-0.584980942
8,0.556391982
10,0.418085634
10,0.003357204
8.666666667,-0.141461236
8.666666667,-0.11529096
9.333333333,-0.086333694
9.333333333,-0.121599511
8,-0.139456574
8,-0.33586739
8,-0.208934175
8,-0.382333957
8,-0.349065591
8,-0.356369807
8,-0.380133236
8,0.132793322
8.666666667,0.043312088
8.666666667,0.037189254
9.333333333,0.125143522
9.333333333,0.12312294
8,0.733041483
8,0.298523031
10,0.183278194
8.666666667,0.145750022
8.666666667,0.079090568
9.333333333,0.15433984
9.333333333,0.161345275
8,1.791676563
9,1.548464751
8.333333333,1.259108011
8.666666667,1.257930847
8,0.289849674
8,-0.281664082
8,-0.174002514
8,-0.251858229
8,-0.175456554
8,-0.356832537
8,-0.33159289
8,-0.34153348
8,-0.386167905
8,-0.121832304
5,0.058062699
8,-0.46255992
5,-0.478315583
6,-0.731427984
8,-0.328355143
7.666666667,-0.507662244
7.666666667,-0.487695075
7.333333333,-0.525895096
7.333333333,-0.542700302
3,0.586776894
8,-0.617506437
3,-0.591903246
5.5,-0.209275542
6.333333333,-0.623571855
4.666666667,-0.797759406
8,0.184544884
9.333333333,-0.384840942
10.66666667,0.128600456
10.66666667,0.086461043
8,-0.262218827
4,0.490417982
8,-0.594137709
4,-0.493129596
5.333333333,-0.778052514
4,0.283894463
4,-0.742009131
4,-0.990286206
4,-0.996874898
4,-0.746579419
4,0.042829222
4,0.267167489
9,0.000396334
5.666666667,-0.470553944
7.333333333,-0.021205831
7.333333333,-0.403560605
4,-0.896784217
3.666666667,-0.897437562
3.333333333,-0.821534673
3.666666667,-0.80731033
3.333333333,-0.664383897
3.333333333,-0.824627927
6,-0.786631855
4.666666667,-0.869518547
4.666666667,-0.842482132
5.333333333,-0.78648573
4,-0.683182201
4.333333333,-0.903139572
4.333333333,-0.882235243
4.666666667,-0.940494271
4.666666667,-0.828577387
10,0.022138366
4,-0.764157565
10,-0.168524454
4,0.766398694
8,-0.466177537
8,-0.575484305
5.333333333,-0.960070685
4,-0.828113977
10,0.114898844
8,0.050117519
4,-0.739253298
10,-0.73921561
8,0.267645049
4,0.813490579
7,-0.400632796
4,-0.47613908
7,-0.779357708
5,-0.995218133
5.666666667,-0.427577645
5.666666667,-0.492896939
7.333333333,-0.121281682
8,-0.5435644
5.333333333,-0.805068656
3,0.388042633
4,-0.820911804
3,-0.559912047
3.666666667,-0.981801424
3.666666667,-0.992279712
3.333333333,-0.967033398
3.333333333,-0.981890133
4.333333333,-0.959748774
4.333333333,-0.935203834
4.666666667,-0.989298568
4.666666667,-0.903726794
4,0.692033656
7,-0.187047107
4,-0.493412323
7,-0.745167692
5,-0.882561779
4,0.223814993
4,-0.745925393
4,-1.034150276
4,-0.962320794
