Valence Electrons,Adsorption Energy (eV)
9.333333333,2.430450329
9.333333333,2.532990987
9.666666667,2.536259346
9.666666667,2.659522834
8,3.338202503
8.666666667,2.002961258
8.666666667,2.474146642
8.333333333,1.617091861
8.333333333,1.862003704
10,5.31787068
9.333333333,2.502468114
9.333333333,2.590702931
9.666666667,2.863291744
9.666666667,3.013753146
10,4.365008018
9.333333333,2.670372557
9.333333333,2.65449349
9.666666667,2.583624025
9.666666667,2.822549772
8.333333333,1.840564399
8.333333333,2.243575879
7.666666667,1.552453804
9,2.137726861
9,2.353089181
9,1.946864173
9,2.225481261
8.5,2.303397113
8.666666667,1.880955481
8.666666667,2.251206903
8.333333333,1.716112046
8.333333333,1.9674753
9,3.07841202
9,3.07841202
9,3.07841202
9,0.944078146
9,0.944078146
9,0.944078146
5,2.499090365
5,2.499090365
5,2.499090365
9,1.102603778
5.666666667,2.11152638
6.5,2.283395521
9,1.554122814
7.666666667,1.577339159
6.333333333,1.625468886
9,1.737972856
8,1.781368074
7,1.802240838
7,1.572259746
9,0.782355178
5,2.351099893
9,2.332683773
11,3.641166704
11,3.754501709
9,0.846466967
6,3.640320566
6,1.070740336
6,0.977673185
7.666666667,1.851158471
7.666666667,1.996349844
9.333333333,2.705777016
9.333333333,2.539304572
7,1.798877103
7,1.866088949
6.666666667,1.828781189
6.666666667,1.732635343
7.333333333,1.611043451
7.333333333,1.743557312
6,-0.02759969
6,-0.02759969
6,-0.02759969
4.666666667,1.46501043
4.666666667,1.46501043
4.666666667,1.46501043
5,1.970443518
5,1.970443518
5,1.970443518
9,3.681202269
7,1.765145191
7,1.887066341
8,1.790238713
8,2.213190151
6,1.800112228
3,6.739759638
6,0.493712736
6,-0.012815337
6.5,-0.020136152
6,1.115912865
6,1.323318714
6,1.229890468
6,3.099108726
6,1.938470958
5,4.864725899
6,0.503803942
5.333333333,1.579597296
8,3.506645187
6.666666667,1.562132077
6.666666667,1.764426539
7.333333333,1.397355583
7.333333333,1.61554367
10,4.98358672
7.333333333,1.726820678
7.333333333,1.840744266
8.666666667,2.529422486
8.666666667,2.709249733
7.333333333,1.867945174
7.333333333,1.9923646
8.666666667,2.506619619
8.666666667,2.70243505
6,3.920796871
7,3.503187164
6.666666667,1.121699638
6.5,0.74381379
7,1.709325663
7,1.790796547
8,1.965910509
8,2.329974199
8,3.575362231
6.666666667,1.572816899
6.666666667,1.731334911
7.333333333,1.542274842
7.333333333,1.796577469
6,0.571370488
6,3.239231162
5,4.881682537
6,0.334450221
5,1.691173901
5.333333333,1.393525717
6,3.750634428
7,3.586917817
7,1.552008082
6.666666667,1.422872514
6.5,0.871421847
6,0.347093718
4.666666667,1.660103535
4.666666667,1.660180544
5,1.47493932
6,1.808719052
5.666666667,1.268940845
5.666666667,1.215659594
5.333333333,1.419843479
5.333333333,1.30426816
6,3.68093655
6,4.173729405
6,1.209427779
6,0.708916143
6,2.033004122
6,2.049472043
10,3.047267366
10,2.945488763
6,2.507092008
4,5.481670149
6,0.077084136
4.666666667,1.5897134
5,1.614910189
11,5.956332468
11,4.163048937
11,4.110073135
10,3.037377661
10,3.005813952
9,2.438740686
9,2.517936833
4,2.220329193
6.333333333,1.966635285
6.333333333,1.97001766
7.5,0.587037715
10.33333333,2.925757925
10.33333333,3.114394721
9.666666667,1.76341999
9.666666667,1.831763421
3,5.916713781
11,1.93691161
5.666666667,2.64540516
7,3.437413984
7,2.804755296
9,2.508364413
9.333333333,2.813355726
9.333333333,2.624264908
7.666666667,1.896682708
7.666666667,2.057049597
11,2.267132774
7,2.130566865
7,2.198313687
10.66666667,3.544645748
10.66666667,3.531879392
10.33333333,2.669206141
10.33333333,2.7311134
8,3.187628718
8,1.965458392
10,2.981374864
10,3.106964381
9,1.989090391
9,1.884561941
11,5.897265669
10,5.179315075
10,3.17968626
10.5,2.796323032
10,4.212212697
10.66666667,3.555957248
10.66666667,3.479474756
10.33333333,2.582668906
10.33333333,2.732440771
7,3.18741266
9.666666667,2.847817991
9.666666667,2.664518163
8.333333333,1.617196081
8.333333333,1.630774834
10.33333333,3.084549956
10.33333333,3.120562589
9.666666667,1.987524103
9.666666667,2.099228059
8,3.274778209
10,3.053565441
10,3.038441354
9,2.115206311
9,2.11657518
3,2.527656876
5.666666667,2.714244246
7,1.377864069
11,1.932517652
7,1.887426756
7,1.886466602
9.666666667,2.971701217
9.666666667,2.721173625
8.333333333,1.885343588
8.333333333,1.992735356
11,2.539916284
6.333333333,2.176645126
6.333333333,2.333944612
9,2.743542199
9,2.716914091
7,2.130292847
7,2.241225631
11,2.997486317
9.333333333,2.768801166
9.333333333,2.681246906
7.666666667,1.650907584
7.666666667,1.683313349
11,1.70533974
3,2.755517929
5.666666667,2.82189112
11,4.243781575
11.66666667,4.724178557
11.66666667,4.617135096
11,4.712566371
4,4.938399905
6.333333333,2.009933222
7.5,0.687920655
8,2.945397469
4,5.521497683
8,0.662904005
5.333333333,1.993551289
