Sublimation Energy,reaction energy (eV)
266.3,5.783039763
391.4,6.011974578
391.4,2.860196858
349.7,3.006130829
328.85,1.843642143
126.35,3.950400135
196.325,5.081134361
377.8666667,3.787972936
377.8666667,3.650004009
489.4333333,2.175398028
489.4333333,2.335432939
342.5,6.525164134
342.5,4.896599954
342.5,4.7414235
342.5,4.577755189
185.0333333,5.336980418
391.2,4.107061106
391.2,2.670142893
358.7333333,3.692672275
358.7333333,3.721917574
353.8333333,2.722000035
313.1,4.393660381
332.7,4.774783976
332.7,4.695627013
322.9,4.85933478
360.8,2.855930113
348.6,3.770444179
348.6,3.663073909
551.1666667,2.119875921
551.1666667,2.151416228
423.6666667,3.363898485
384.9666667,3.13598641
374.35,2.502123618
233.2,4.14713572
440.3333333,3.260197534
440.3333333,2.978262698
538.1666667,1.750476895
538.1666667,2.011049025
467.2666667,3.449734482
592.0333333,2.011710398
592.0333333,2.174260729
395.2,2.659127452
360.0666667,3.872778711
360.0666667,3.846388566
342.5,4.848521112
360.5666667,4.071214462
360.5666667,3.982553379
378.6333333,3.356649236
378.6333333,3.340832483
398.3333333,3.771930465
398.3333333,3.655307235
454.1666667,2.623943949
454.1666667,2.642833956
474.3333333,4.063611601
400.5666667,3.318976164
400.5666667,3.33130673
458.6333333,1.984283228
458.6333333,2.041484006
605.7,2.567540193
517.9666667,2.567829858
334,2.992041999
336.8333333,2.868203807
338.25,2.019211488
485.3333333,3.598553405
485.3333333,3.478301945
628.1666667,1.80674786
628.1666667,1.890731306
573,2.999451115
496.1666667,2.898255651
419.3333333,3.908092148
376.2333333,3.786971965
376.2333333,3.62321685
409.9666667,2.146440354
409.9666667,2.241769859
386.9333333,3.321192939
431.3666667,1.997783611
431.3666667,2.100642779
835,1.719576192
506.6666667,3.245683526
506.6666667,3.005873137
670.8333333,1.532117784
670.8333333,1.684496772
391.4,6.301029544
375.1,3.416674011
375.1,3.151344651
366.95,2.355027584
126.35,4.147175856
270.45,4.820968905
514.8333333,2.249844565
106.3,5.363709208
106.3,5.458832723
391.2,2.339204845
201.2666667,3.946202099
313.1,3.628236398
175.2333333,5.105211402
360.8,2.384112336
191.1333333,3.682758896
191.1333333,3.628797225
289.3666667,3.721574302
289.3666667,3.592888539
472.4333333,1.844507192
472.4333333,1.892816106
91.36333333,4.98544553
91.36333333,5.045343772
586,1.615074818
586,3.179521359
406.2,5.838837114
306.2333333,2.837542564
256.25,1.922794344
233.2,2.722961821
636,1.940358884
636,2.002342199
282.8666667,3.158017563
309.8,3.471302225
309.8,3.311658886
513.3,2.063188758
513.3,1.928084101
309.8,3.478986448
395.2,2.707291194
202.6,4.430241461
661,3.414860237
661,1.993177405
396.7,4.242661011
203.1,5.147967833
203.1,5.078012263
510,3.265591918
240.8666667,4.436984986
738,3.172004486
738,1.714999509
316.8666667,3.133274523
516.7,3.382512704
516.7,1.717168664
605.7,1.96858498
605.7,3.157523404
334,2.445798638
220.15,1.61568272
327.8666667,3.351637716
327.8666667,3.347027971
549.4333333,1.733068548
549.4333333,1.540139428
573,2.203771474
573,2.194605592
261.8666667,3.387464496
443.7,1.893439247
218.7666667,3.665469327
331.2333333,1.825249424
218.7666667,3.414167299
475.8,1.876658259
229.4666667,3.270706706
352.6333333,1.883740838
835,1.54005657
835,1.667920822
349.2,3.065853286
391.4,3.123008485
296.3666667,3.06461095
119.6666667,3.616090733
271.2,3.707546154
271.2,3.528702871
436.1,1.990415177
436.1,2.045145569
391.2,3.999846213
391.2,2.106999494
391.2,2.292815966
365.1666667,2.416516332
365.1666667,2.494853144
339.1333333,3.249817071
339.1333333,3.253120805
376,3.160249849
391.2,0.904207891
567.4,2.110845143
391.2,2.322410523
586,3.364652784
456.1333333,2.196851075
456.1333333,2.430162025
521.0666667,1.816983694
521.0666667,2.061723289
391.2,1.125890736
401.2,2.393707342
392.5333333,2.430450329
392.5333333,2.532990987
393.8666667,2.536259346
393.8666667,2.659522834
661,3.338202503
481.1333333,2.002961258
481.1333333,2.474146642
571.0666667,1.617091861
571.0666667,1.862003704
396.7,5.31787068
393.0333333,2.502468114
393.0333333,2.590702931
394.8666667,2.863291744
394.8666667,3.013753146
510,4.365008018
430.8,2.670372557
430.8,2.65449349
470.4,2.583624025
470.4,2.822549772
506.8,1.840564399
506.8,2.243575879
622.4,1.552453804
433.0333333,2.137726861
433.0333333,2.353089181
474.8666667,1.946864173
474.8666667,2.225481261
498.45,2.303397113
462.7,1.880955481
462.7,2.251206903
534.2,1.716112046
534.2,1.9674753
391.2,3.07841202
391.2,3.07841202
391.2,3.07841202
391.2,0.944078146
391.2,0.944078146
391.2,0.944078146
353.0666667,2.499090365
353.0666667,2.499090365
353.0666667,2.499090365
391.2,1.102603778
426.2,2.11152638
417.45,2.283395521
391.2,1.554122814
419.4,1.577339159
447.6,1.625468886
391.2,1.737972856
539.1333333,1.781368074
687.0666667,1.802240838
687.0666667,1.572259746
391.2,0.782355178
391.3333333,2.351099893
391.2,2.332683773
214.6333333,3.641166704
214.6333333,3.754501709
391.2,0.846466967
359.5,3.640320566
359.5,1.070740336
359.5,0.977673185
344.0333333,1.851158471
344.0333333,1.996349844
328.5666667,2.705777016
328.5666667,2.539304572
360.15,1.798877103
360.15,1.866088949
359.9333333,1.828781189
359.9333333,1.732635343
360.3666667,1.611043451
360.3666667,1.743557312
359.5,-0.02759969
359.5,-0.02759969
359.5,-0.02759969
556.8333333,1.46501043
556.8333333,1.46501043
556.8333333,1.46501043
507.5,1.970443518
507.5,1.970443518
507.5,1.970443518
586,3.681202269
435,1.765145191
435,1.887066341
510.5,1.790238713
510.5,2.213190151
359.5,1.800112228
406.2,6.739759638
359.5,0.493712736
359.5,-0.012815337
296.35,-0.020136152
451.6666667,1.115912865
543.8333333,1.323318714
543.8333333,1.229890468
359.5,3.099108726
359.5,1.938470958
716.8,4.864725899
359.5,0.503803942
597.7,1.579597296
661,3.506645187
460,1.562132077
460,1.764426539
560.5,1.397355583
560.5,1.61554367
396.7,4.98358672
371.9,1.726820678
371.9,1.840744266
384.3,2.529422486
384.3,2.709249733
409.6666667,1.867945174
409.6666667,1.9923646
459.8333333,2.506619619
459.8333333,2.70243505
359.5,3.920796871
