Psi, d-Band_Upper Edge, Surface
12.70164760046835,2.1115482725,Ta6Y6
31.612903225806452,-0.42188263300000006,Cr6Mn6
13.47001326636926,1.1863932515,Ti6V6
15.625,1.2686081495000003,Nb12
15.625,1.2683819674999999,Nb12
12.249932625741156,1.9972525104999999,Sc6Ta6
6.617647058823529,1.0615818835000002,Cd6Sc6
7.377049180327869,1.2775248015,Ag6Y6
62.69430051813472,-4.053729929,Ag6Y6
13.411020025256969,2.181337538,Ta6Zr6
13.044567844987537,1.5503064764999999,V6Zr6
72.0,-6.056950984499999,Hf6Hg6
12.307692307692307,1.702548061,Hf6Hg6
9.47389268955678,1.6397178014999998,Nb6Y6
14.430195915803996,1.4241309679999998,Hf6Nb6
12.307692307692307,1.4459714505,Hf6Zn6
14.237451369597338,1.9031095664999997,Ta6Ti6
