surface,LC,EN,DBW,DBF,DOS,WF,CN,GCN,VE,RxnE
Ag6V6,355.765,1.63,2.868715421,0.529864582,22.89,4.760307594,1,7.5,5,-1.102376835
Ag6W6,362.525,1.93,1.856104759,0.980388286,22.34,5.102995171,1,7.5,11,-1.156093331
Ag6W6,362.525,2.36,4.282216316,0.558905565,22.34,5.102995171,1,7.5,6,-1.169014793
Ag6W6,362.525,2.36,4.282269048,0.558902525,22.34,5.102995171,2,7.33,6,-1.746280083
Ag6W6,362.525,1.93,1.856107151,0.980388608,22.34,5.102995171,2,7.33,11,-1.742035652
Ag6W6,362.525,2.36,4.282269048,0.558902525,22.34,5.102995171,2,7.33,6,-1.757145997
Ag6Y6,386.635,1.93,1.432772276,0.986198507,8.812,3.582608877,1,7.5,11,1.879304702
Ag6Y6,386.635,1.22,2.667318132,0.314134059,8.812,3.582608877,1,7.5,3,-0.433011894
Ag6Y6,386.635,1.93,1.432712996,0.98620129,8.812,3.582608877,2,7.33,11,-2.968361564
Ag6Y6,386.635,1.22,2.667587411,0.314308393,8.812,3.582608877,2,7.33,3,-2.968642658
Ag6Zn6,337.51,1.65,0.684009816,0.997780353,3.599,4.616971779,2,7.33,12,0.507622788
Ag6Zr6,365.865,1.93,1.647160075,0.983938604,19.31,4.207015591,2,7.33,11,-2.650263344
Ag6Zr6,365.865,1.33,3.335217634,0.443450268,19.31,4.207015591,2,7.33,4,-2.649893541
Ag6Zr6,365.865,1.60215479901288,3.252038388,0.767957826,19.31,4.207015591,2,7.33,6.6332495807108,-1.279304028
Ag6Zr6,365.865,1.70472927650953,2.88620852,0.848923215,19.31,4.207015591,3,6.95454545454545,7.85142441053969,-1.186021091
Au12,407.82,2.54,1.406590579,0.974485182,1.182,5.426721805,1,7.5,11,3.705461217
Au12,407.82,2.54,1.406481978,0.974489352,1.182,5.426721805,3,7.5,11,2.619231618
Au12,407.82,2.54,1.406537468,0.97448698,1.182,5.426721805,3,6.95454545454545,11,2.415031951
Au6Cd6,352.88,2.21743745658359,2.648811862,0.985456743,1.166,4.634060417,3,7.5,11.323713482402,1.696638083
Au6Cd6,352.88,2.21743745658359,2.648842373,0.985456713,1.166,4.634060417,3,6.95454545454545,11.323713482402,1.688520519
Au6Cd6,352.88,1.93583813931492,2.601346495,0.991402144,1.166,4.634060417,3,7.5,11.6569533665029,1.460941784
Au6Cd6,352.88,1.93583813931492,2.601298987,0.991402643,1.166,4.634060417,3,6.95454545454545,11.6569533665029,1.437884218
Au6Co6,329.265,1.88,1.058037363,0.492800818,9.621,5.131132189,1,7.5,9,1.327002455
Au6Co6,329.265,1.88,1.05817847,0.492799193,9.621,5.131132189,2,7.33,9,0.368093424
Au6Co6,329.265,1.88,1.058037363,0.492800818,9.621,5.131132189,1,7.5,9,1.357766285
Au6Co6,329.265,2.29760355307836,1.434561513,0.491176414,9.621,5.131132189,3,6.95454545454545,10.2882764781018,1.289035091
Au6Cr6,349.41,1.66,4.070809687,0.586622301,22.12,5.058614798,2,7.33,6,-0.394555814
Au6Cu6,384.655,2.30572236101145,1.502463438,0.975496611,3.059,5.135274772,3,7.5,11,2.075916746
Au6Cu6,384.655,2.30572236101145,1.502461911,0.975496613,3.059,5.135274772,3,6.95454545454545,11,1.922733798
Au6Cu6,384.655,2.09305338821582,1.378927762,0.977128821,3.059,5.135274772,3,7.5,11,1.463114069
Au6Cu6,384.655,2.09305338821582,1.378939023,0.977127962,3.059,5.135274772,3,6.95454545454545,11,1.365880039
Au6Fe6,347.235,1.83,1.111401856,0.512575933,11.347,4.955491913,1,7.5,8,1.011918303
Au6Fe6,347.235,1.83,1.111439874,0.512569511,11.347,4.955491913,2,7.33,8,0.027534519
Au6Fe6,347.235,2.27705143624203,0.94820879,0.500588568,11.347,4.955491913,3,6.95454545454545,9.8921748864974,0.942270358
Au6Hf6,363.73,1.3,3.847347761,0.420068859,16.17,4.415486609,1,7.5,4,-1.054402621
Au6Hf6,363.73,1.3,3.847483143,0.420153887,16.17,4.415486609,2,7.33,4,-3.022896715
Au6Hg6,354.16,2.165864265664,1.791944357,0.990283527,2.588,4.840059981,3,7.5,11.6569533665029,2.174596653
Au6Ir6,395.86,2.2,2.038543505,0.807136075,22.26,5.582955833,1,7.5,9,1.581751213
Au6La6,392.51,1.1,3.478020043,0.474937271,10.76,3.306310049,1,7.5,3,-0.716519139
Au6La6,392.51,1.1,3.477966142,0.474952475,10.76,3.306310049,2,7.33,3,-2.642799261
Au6Mo6,361.26,2.16,3.459575882,0.560109724,14.49,5.194921448,1,7.5,6,-0.90069735
Au6Mo6,361.26,2.16,3.45948058,0.560087609,14.49,5.194921448,2,7.33,6,-1.197254223
Au6Nb6,368.93,1.6,3.501596513,0.517377326,8.329,4.763288304,1,7.5,5,-1.078818035
Au6Nb6,368.93,1.6,3.501743337,0.517458458,8.329,4.763288304,2,7.33,5,-1.781963051
Au6Ni6,380.11,1.91,0.882634079,0.474653459,20.238,5.280112986,2,7.33,10,0.737789598
Au6Ni6,380.11,2.30976041192474,1.262243496,0.482907377,20.238,5.280112986,3,6.95454545454545,10.6560223676661,1.573821407
Au6Pd6,398.445,2.42119650324009,1.575362968,0.963238572,11.87,5.49402366,3,7.5,10.6560223676661,2.426776929
Au6Pd6,398.445,2.42119650324009,1.575340528,0.963240105,11.87,5.49402366,3,6.95454545454545,10.6560223676661,2.198265115
Au6Pd6,398.445,2.30794980602443,1.581985374,0.951518064,11.87,5.49402366,3,7.5,10.3228011545637,2.020223343
Au6Pd6,398.445,2.30794980602443,1.581968148,0.951519695,11.87,5.49402366,3,6.95454545454545,10.3228011545637,1.870309979
Au6Pt6,400.12,2.45019562508477,1.687598606,0.951770276,9.496,5.729870974,3,7.5,10.6560223676661,2.422497122
Au6Pt6,400.12,2.45019562508477,1.68762955,0.951768179,9.496,5.729870974,3,6.95454545454545,10.6560223676661,2.106341659
Au6Pt6,400.12,2.36356637841912,1.764520137,0.932029548,9.496,5.729870974,3,7.5,10.3228011545637,1.774545364
Au6Pt6,400.12,2.36356637841912,1.764525406,0.932030068,9.496,5.729870974,3,6.95454545454545,10.3228011545637,1.678456389
Au6Re6,341.96,1.9,4.304074834,0.625255124,16.22,5.412226415,1,7.5,7,0.619271912
Au6Rh6,394.08,2.45019562508477,2.338655388,0.924408419,25.29,5.48930223,3,6.95454545454545,10.2882764781018,1.866344328
Au6Rh6,394.08,2.36356637841912,2.373991202,0.875994656,25.29,5.48930223,3,6.95454545454545,9.62260298998748,0.866565159
Au6Rh6,394.08,2.45019562508477,2.338659693,0.92441109,25.29,5.48930223,3,7.5,10.2882764781018,1.81761391
Au6Ru6,339.205,2.2,3.176271663,0.708547589,12.3,5.259663251,1,7.5,8,1.649569737
Au6Ru6,339.205,2.2,3.176271663,0.708547589,12.3,5.259663251,1,7.5,8,1.649216261
Au6Sc6,369.36,1.36,2.237455983,0.282256128,6.881,3.870282595,2,7.33,3,-2.668980694
Au6Sc6,369.36,2.06253873695228,2.63829696,0.825556073,6.881,3.870282595,3,6.95454545454545,7.13349248972831,-0.550737049
Au6Ta6,368.975,1.5,4.285957672,0.414798176,7.511,4.869834068,1,7.5,5,-1.215210743
Au6Ta6,368.975,1.5,4.285980724,0.414794456,7.511,4.869834068,2,7.33,5,-2.086712863
Au6Tc6,340.66,1.9,3.74184579,0.629652715,11.48,5.29957652,1,7.5,7,1.013833441
Au6Ti6,351.45,1.54,2.475625579,0.422142496,27.63,4.498966273,1,7.5,4,-1.09895269
Au6Ti6,351.45,1.54,2.475702816,0.422138014,27.63,4.498966273,2,7.33,4,-2.475922593
Au6V6,355.41,1.63,2.560088991,0.500900621,23.72,4.908096071,1,7.5,5,-0.997681307
