Psi, Adsorption Energy, Surface
15.337423312883436,-0.907914489,Sc6V6
20.00097191175193,-0.90718917,Tc6Zr6
18.19549901330199,-0.906448748,Cr6Ta6
16.21125489885758,-0.90637555,Ta6V6
10.909938148111106,-0.905587372,Ti6Zr6
10.220523019418271,-0.905067498,Y6Zr6
15.064615212402126,-0.903726794,Hf6Ta6
15.376836875800764,-0.903549375,Nb6W6
16.666666666666668,-0.903475633,Ta6Y6
13.326755466783169,-0.903139572,Hf6Nb6
7.377049180327869,-0.902642692,Y12
15.309644355427741,-0.902072614,V6W6
14.252590684672837,-0.901478045,Hf6V6
12.307692307692307,-0.900437073,Cu6Hf6
13.47001326636926,-0.900235029,Ti6V6
15.254237288135593,-0.897556068,W6Y6
10.741568318583305,-0.897437562,Hf6La6
8.859984663433194,-0.897293614,La6Ti6
12.307692307692307,-0.896784217,Hf6La6
11.829969982229875,-0.893312589,Ti6V6
11.456324725577526,-0.893045237,Ti6Zr6
8.683161921956897,-0.892379646,Y6Zr6
14.950484956045756,-0.890908463,Ta6Zr6
16.18189326809658,-0.889846403,Ta6W6
12.030075187969924,-0.889286528,Zr12
14.20100919572253,-0.888731552,Hf6W6
11.903449940688644,-0.8877548,Nb6Ti6
29.09090909090909,-0.88748255,Os6Sc6
9.003650960111802,-0.886857232,Sc6Ta6
16.666666666666668,-0.886516818,La6Ta6
18.465490303158646,-0.883223832,Nb6Re6
15.749444726044826,-0.882561779,Hf6Tc6
18.41333360930565,-0.882279733,Ru6Y6
15.528546924913458,-0.882277692,Nb6V6
13.326755466783169,-0.882235243,Hf6Nb6
16.311948504870227,-0.882166534,Nb6Ta6
11.808543682248803,-0.882114424,Ti6W6
11.65487312713577,-0.880877531,Ru6Y6
12.249932625741119,-0.880356841,Mo6Sc6
12.249932625741119,-0.880356841,Mo6Sc6
12.249932625741119,-0.880356841,Mo6Sc6
10.579427560794661,-0.879774517,La6Zr6
15.254237288135593,-0.879511383,W12
12.030075187969924,-0.87913505,La6Zr6
19.321777495176246,-0.878866745,Cr6V6
21.686746987951807,-0.878578305,Cr12
8.269035818012572,-0.877677744,Ti6Y6
21.686746987951807,-0.877451345,Cr12
13.125592082986564,-0.877374473,Nb6Zr6
17.4292281512511,-0.877052018,Cr6Nb6
16.18189326809658,-0.874400269,Ta6W6
15.625,-0.873487191,Nb12
15.432689254351342,-0.873371679,Nb6V6
8.812025449030154,-0.872307033,Nb6Sc6
8.181818181818182,-0.872222406,La6Mo6
13.411020025256935,-0.87168743,Mo6Zr6
14.950484956045674,-0.870364004,Mo6Zr6
13.616557889864314,-0.869518547,Hf6Mo6
19.277320124307515,-0.868031989,Re6Ta6
13.411020025256969,-0.867350071,Ta6Zr6
11.547683323628114,-0.86722694,Sc6W6
13.793122043366127,-0.866000931,Tc6Y6
15.768287123744123,-0.865465411,Mo6V6
15.254237288135593,-0.863439932,W12
14.237451369597284,-0.862350524,Mo6Ti6
16.666666666666668,-0.862257461,La6Ta6
10.38961038961039,-0.86205841,Cr6Ti6
11.808543682248803,-0.861169278,Ti6W6
12.16230129009887,-0.860625594,Mo6Ti6
8.757628844082975,-0.859307339,Sc6V6
16.666666666666664,-0.859018082,La6Mo6
21.686746987951807,-0.858848691,Cr6Ti6
12.166740453972256,-0.858490181,Nb6Y6
16.666666666666668,-0.857171789,La6Ta6
15.337423312883436,-0.856917635,Sc6V6
9.268875899853407,-0.856675998,Ti6Y6
15.254237288135593,-0.856283338,La6W6
9.679911105988936,-0.854621266,Ta6Y6
15.28191571088717,-0.854151054,V6W6
13.220501187158636,-0.853766285,Hf6W6
17.214711168092972,-0.852662591,Cr6V6
16.666666666666668,-0.851386377,Cd6Ta6
16.311948504870283,-0.851336308,Mo6Nb6
15.768287123744084,-0.850539559,Ta6V6
25.789473684210527,-0.85028935,La6Re6
