adsorbate,surface,reaction energy (eV),site,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices,Coordination_Number,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy,Valence Electrons,Beta
O,Ir6Pd6,1.144619923,hollow|A_B_B|HCP,L1_o,"['Pd', 'Pd', 'Ir']","[9, 10, 11]","['Pd', 'Pd', 'Ir', 'Ir', 'Pd', 'Pd', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,386.485,8.54,2.2,8.546899333333332,0.8959333333333334,459.8,9.666666666666666,1.0
O,Ir6Pd6,1.151707128,hollow|A_B_B|FCC,L1_o,"['Pd', 'Pd', 'Ir']","[9, 10, 12]","['Pd', 'Pd', 'Ir', 'Ir', 'Pd', 'Pd', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,386.485,8.54,2.2,8.546899333333332,0.8959333333333334,459.8,9.666666666666666,1.0
O,Ir6Pt6,1.448100868,top|A,L1_o,['Ir'],[9],"['Ir', 'Pt', 'Pt', 'Ir', 'Ir', 'Pt', 'Pt']","[6, 7, 8, 9, 10, 11, 12]",1,388.15999999999997,8.805,2.2,8.96702,1.5638,586.0,9.0,1.0
O,Ir6Pt6,0.964760975,hollow|A_A_B|HCP,L1_o,"['Ir', 'Ir', 'Pt']","[9, 10, 11]","['Ir', 'Ir', 'Pt', 'Pt', 'Ir', 'Ir', 'Pt', 'Pt']","[5, 6, 7, 8, 9, 10, 11, 12]",3,388.15999999999997,8.805,2.2263498100930366,8.96429,1.7518666666666667,560.6666666666666,9.333333333333332,1.0
O,Ir6Pt6,0.725065691,hollow|A_A_B|FCC,L1_o,"['Ir', 'Ir', 'Pt']","[9, 10, 12]","['Ir', 'Ir', 'Pt', 'Pt', 'Ir', 'Ir', 'Pt', 'Pt']","[5, 6, 7, 8, 9, 10, 11, 12]",3,388.15999999999997,8.805,2.2263498100930366,8.96429,1.7518666666666667,560.6666666666666,9.333333333333332,1.0
O,Ir6Pt6,1.452903405,hollow|A_B_B|HCP,L1_o,"['Ir', 'Pt', 'Pt']","[10, 11, 12]","['Ir', 'Ir', 'Pt', 'Pt', 'Ir', 'Ir', 'Pt', 'Pt']","[5, 6, 7, 8, 9, 10, 11, 12]",3,388.15999999999997,8.805,2.2530152167733184,8.96156,1.9399333333333335,535.3333333333333,9.666666666666666,1.0
O,Ir6Pt6,1.204840892,hollow|A_B_B|FCC,L1_o,"['Ir', 'Pt', 'Pt']","[9, 11, 12]","['Ir', 'Ir', 'Pt', 'Pt', 'Ir', 'Ir', 'Pt', 'Pt']","[5, 6, 7, 8, 9, 10, 11, 12]",3,388.15999999999997,8.805,2.2530152167733184,8.96156,1.9399333333333335,535.3333333333333,9.666666666666666,1.0
O,Ir6Re6,-0.31934042,top|B,L1_o,['Re'],[10],"['Re', 'Re', 'Ir', 'Re', 'Re', 'Ir', 'Ir']","[5, 6, 8, 9, 10, 11, 12]",1,330.0,8.69,1.9,7.83352,0.15,738.0,7.0,1.0
O,Ir6Re6,0.290742208,hollow|A_A_B|HCP,L1_o,"['Re', 'Ir', 'Ir']","[10, 11, 12]","['Re', 'Re', 'Ir', 'Ir', 'Re', 'Re', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,330.0,8.69,2.095075384189983,8.589186666666665,1.0925333333333334,636.6666666666666,8.333333333333332,1.0
O,Ir6Re6,-0.756118778,hollow|A_B_B|HCP,L1_o,"['Re', 'Re', 'Ir']","[9, 10, 11]","['Re', 'Re', 'Ir', 'Ir', 'Re', 'Re', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,330.0,8.69,1.9951549388358207,8.211353333333332,0.6212666666666666,687.3333333333333,7.666666666666666,1.0
