adsorbate,surface,reaction energy (eV),site,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices,Coordination_Number,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy
H,Ag6Ir6,0.079700783,hollow|A_A_B|FCC,L1_o,"['Ag', 'Ag', 'Ir']","[9, 10, 12]","['Ag', 'Ag', 'Ir', 'Ir', 'Ag', 'Ag', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,396.215,9.395,2.016101687,8.039829333,1.389266667,372.8666667
H,Ag6Ir6,-0.225326449,top-tilt|A,L1_o,['Ag'],[9],"['Ag', 'Ir', 'Ir', 'Ag', 'Ag', 'Ir', 'Ir']","[6, 7, 8, 9, 10, 11, 12]",1,396.215,9.395,1.93,7.576234,1.302,266.3
H,Ag6Ir6,-0.22643817,top-tilt|B,L1_o,['Ir'],[11],"['Ag', 'Ag', 'Ir', 'Ag', 'Ag', 'Ir', 'Ir']","[5, 6, 8, 9, 10, 11, 12]",1,396.215,9.395,2.2,8.96702,1.5638,586
H,Ag6Ir6,-0.221626245,hollow-tilt|A_A_B|HCP,L1_o,"['Ag', 'Ag', 'Ir']","[9, 10, 11]","['Ag', 'Ag', 'Ir', 'Ir', 'Ag', 'Ag', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,396.215,9.395,2.016101687,8.039829333,1.389266667,372.8666667
H,Ag6La6,0.447233244,top|A,L1_o,['Ag'],[12],"['La', 'Ag', 'Ag', 'La', 'La', 'Ag', 'Ag']","[5, 7, 8, 9, 10, 11, 12]",1,392.865,16.33,1.93,7.576234,1.302,266.3
H,Ag6La6,0.291687803,top|B,L1_o,['La'],[10],"['La', 'La', 'Ag', 'La', 'La', 'Ag', 'Ag']","[5, 6, 8, 9, 10, 11, 12]",1,392.865,16.33,1.1,5.5769,0.47,406.2
H,Ag6La6,-0.557652414,bridge|A_A|B,L1_o,"['Ag', 'Ag']","[11, 12]","['La', 'La', 'Ag', 'Ag', 'La', 'La', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,392.865,16.33,1.93,7.576234,1.302,266.3
H,Ag6La6,-0.552784569,bridge|B_B|A,L1_o,"['La', 'La']","[9, 10]","['La', 'La', 'Ag', 'Ag', 'La', 'La', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,392.865,16.33,1.1,5.5769,0.47,406.2
H,Ag6La6,-0.20130111,4fold|A_A_B_B,L1_o,"['La', 'La', 'Ag', 'Ag']","[9, 10, 11, 12]","['La', 'La', 'Ag', 'Ag', 'La', 'La', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",5,392.865,16.33,1.457051818,6.576567,0.886,336.25
H,Ag6Mn6,3.749002425,top|A,L1_o,['Ag'],[12],"['Mn', 'Ag', 'Ag', 'Mn', 'Mn', 'Ag', 'Ag']","[6, 7, 8, 9, 10, 11, 12]",1,649.89,8.81,1.93,7.576234,1.302,266.3
