adsorbate,surface,reaction energy (eV),site,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices,Coordination_Number,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy,d-Band_Center,d-Band_Width,d-Band_Filling,DOS at Fermi Energy,Work Function
C,Ni6Ru6,2.473828405,hollow|A_A_B|FCC,L1_o,"['Ni', 'Ni', 'Ru']","[9, 10, 12]","['Ni', 'Ni', 'Ru', 'Ru', 'Ni', 'Ni', 'Ru', 'Ru']","[5, 6, 7, 8, 9, 10, 11, 12]",3,311.495,7.38,2.002149356,7.546752,1.120666667,465.3666667,-1.521277078,2.281029264,0.840641187,32.48,5.250050148
C,Ni6Ru6,2.473828405,hollow|A_A_B|FCC,L1_o,"['Ni', 'Ni', 'Ru']","[9, 10, 12]","['Ni', 'Ni', 'Ru', 'Ru', 'Ni', 'Ni', 'Ru', 'Ru']","[5, 6, 7, 8, 9, 10, 11, 12]",3,311.495,7.38,2.002149356,7.546752,1.120666667,465.3666667,-1.521277078,2.281029264,0.840641187,32.48,5.250050148
C,Ni6Ru6,1.750000015,hollow|A_B_B|HCP,L1_o,"['Ni', 'Ru', 'Ru']","[10, 11, 12]","['Ni', 'Ni', 'Ru', 'Ru', 'Ni', 'Ni', 'Ru', 'Ru']","[5, 6, 7, 8, 9, 10, 11, 12]",3,311.495,7.38,2.098744525,7.453626,1.085333333,535.5333333,-1.520805063,2.547821244,0.787088486,32.48,5.250050148
C,Ni6Ru6,1.750000015,hollow|A_B_B|HCP,L1_o,"['Ni', 'Ru', 'Ru']","[10, 11, 12]","['Ni', 'Ni', 'Ru', 'Ru', 'Ni', 'Ni', 'Ru', 'Ru']","[5, 6, 7, 8, 9, 10, 11, 12]",3,311.495,7.38,2.098744525,7.453626,1.085333333,535.5333333,-1.520805063,2.547821244,0.787088486,32.48,5.250050148
C,Ni6Ru6,1.750000015,hollow|A_B_B|HCP,L1_o,"['Ni', 'Ru', 'Ru']","[10, 11, 12]","['Ni', 'Ni', 'Ru', 'Ru', 'Ni', 'Ni', 'Ru', 'Ru']","[5, 6, 7, 8, 9, 10, 11, 12]",3,311.495,7.38,2.098744525,7.453626,1.085333333,535.5333333,-1.520805063,2.547821244,0.787088486,32.48,5.250050148
C,Ni6Ru6,1.960218976,hollow|A_B_B|FCC,L1_o,"['Ni', 'Ru', 'Ru']","[9, 11, 12]","['Ni', 'Ni', 'Ru', 'Ru', 'Ni', 'Ni', 'Ru', 'Ru']","[5, 6, 7, 8, 9, 10, 11, 12]",3,311.495,7.38,2.098744525,7.453626,1.085333333,535.5333333,-1.520846398,2.547853599,0.787083167,32.48,5.250050148
C,Ni6Ru6,1.960218976,hollow|A_B_B|FCC,L1_o,"['Ni', 'Ru', 'Ru']","[9, 11, 12]","['Ni', 'Ni', 'Ru', 'Ru', 'Ni', 'Ni', 'Ru', 'Ru']","[5, 6, 7, 8, 9, 10, 11, 12]",3,311.495,7.38,2.098744525,7.453626,1.085333333,535.5333333,-1.520846398,2.547853599,0.787083167,32.48,5.250050148
C,Ni6Ru6,1.960218976,hollow|A_B_B|FCC,L1_o,"['Ni', 'Ru', 'Ru']","[9, 11, 12]","['Ni', 'Ni', 'Ru', 'Ru', 'Ni', 'Ni', 'Ru', 'Ru']","[5, 6, 7, 8, 9, 10, 11, 12]",3,311.495,7.38,2.098744525,7.453626,1.085333333,535.5333333,-1.520846398,2.547853599,0.787083167,32.48,5.250050148
C,Ni6Ta6,1.921188192,hollow|A_B_B|HCP,L1_o,"['Ni', 'Ta', 'Ta']","[10, 11, 12]","['Ni', 'Ni', 'Ta', 'Ta', 'Ni', 'Ni', 'Ta', 'Ta']","[5, 6, 7, 8, 9, 10, 11, 12]",3,341.265,8.72,1.625818128,7.579673333,0.6,645.7333333,-0.479644095,3.824985367,0.601888751,21.4,5.250050148
C,Ni6Ta6,1.794784647,hollow|A_B_B|FCC,L1_o,"['Ni', 'Ta', 'Ta']","[9, 11, 12]","['Ni', 'Ni', 'Ta', 'Ta', 'Ni', 'Ni', 'Ta', 'Ta']","[5, 6, 7, 8, 9, 10, 11, 12]",3,341.265,8.72,1.625818128,7.579673333,0.6,645.7333333,-0.47989973,3.825029959,0.601906555,21.4,5.250050148
C,Ni6W6,2.336466291,bridge|A_A|B,L1_o,"['Ni', 'Ni']","[9, 10]","['Ni', 'Ni', 'W', 'W', 'Ni', 'Ni', 'W', 'W']","[5, 6, 7, 8, 9, 10, 11, 12]",2,334.46,8.03,1.91,7.639878,1.156,395.2,-1.724814045,2.093511984,0.90069866,8.276,5.250050148
C,Ni6W6,2.34649736,hollow|A_A_B|HCP,L1_o,"['Ni', 'Ni', 'W']","[9, 10, 11]","['Ni', 'Ni', 'W', 'W', 'Ni', 'Ni', 'W', 'W']","[5, 6, 7, 8, 9, 10, 11, 12]",3,334.46,8.03,2.04955501,7.714595333,1.042753333,541.8,-1.560477577,2.85909283,0.815068113,8.276,5.250050148
C,Ni6W6,1.772626553,hollow|A_B_B|HCP,L1_o,"['Ni', 'W', 'W']","[10, 11, 12]","['Ni', 'Ni', 'W', 'W', 'Ni', 'Ni', 'W', 'W']","[5, 6, 7, 8, 9, 10, 11, 12]",3,334.46,8.03,2.199306669,7.789312667,0.929506667,688.4,-1.37078783,3.532910715,0.716300282,8.276,4.904225835
C,Ni6W6,1.777381062,hollow|A_B_B|FCC,L1_o,"['Ni', 'W', 'W']","[9, 11, 12]","['Ni', 'Ni', 'W', 'W', 'Ni', 'Ni', 'W', 'W']","[5, 6, 7, 8, 9, 10, 11, 12]",3,334.46,8.03,2.199306669,7.789312667,0.929506667,688.4,-1.370941483,3.532956195,0.716305999,8.276,4.904225835
C,Ni6Y6,1.619419931,bridge|A_A|B,L1_o,"['Ni', 'Ni']","[9, 10]","['Ni', 'Ni', 'Y', 'Y', 'Ni', 'Ni', 'Y', 'Y']","[5, 6, 7, 8, 9, 10, 11, 12]",2,358.57,13.235,1.91,7.639878,1.156,395.2,-1.373362874,1.430395245,0.93217363,8.711,5.238222361
C,Ni6Y6,2.734937143,hollow-tilt|A_B_B|FCC,L1_o,"['Ni', 'Y', 'Y']","[9, 11, 12]","['Ni', 'Ni', 'Y', 'Y', 'Ni', 'Ni', 'Y', 'Y']","[5, 6, 7, 8, 9, 10, 11, 12]",3,358.57,13.235,1.416612304,6.691466,0.59,392.6666667,-0.766327431,2.537117074,0.656789494,8.711,5.238222361
C,Ni6Zn6,2.996302349,bridge|A_A|B,L1_o,"['Ni', 'Ni']","[9, 10]","['Ni', 'Ni', 'Zn', 'Zn', 'Ni', 'Ni', 'Zn', 'Zn']","[5, 6, 7, 8, 9, 10, 11, 12]",2,309.445,7.875,1.91,7.639878,1.156,395.2,-1.108926005,1.377590187,0.908619034,5.126,5.238222361
C,Ni6Zn6,4.152801946,hollow|A_B_B|HCP,L1_o,"['Ni', 'Zn', 'Zn']","[10, 11, 12]","['Ni', 'Ni', 'Zn', 'Zn', 'Ni', 'Ni', 'Zn', 'Zn']","[5, 6, 7, 8, 9, 10, 11, 12]",3,309.445,7.875,1.732475434,8.809424,0.385333333,215.9666667,-4.95153887,2.91919751,0.967207184,5.126,5.238222361
C,Ni6Zr6,0.83620052,bridge|A_A|B,L1_o,"['Ni', 'Ni']","[9, 10]","['Ni', 'Ni', 'Zr', 'Zr', 'Ni', 'Ni', 'Zr', 'Zr']","[5, 6, 7, 8, 9, 10, 11, 12]",2,337.8,10.305,1.91,7.639878,1.156,395.2,-1.910807252,1.815289388,0.915850814,11.437,3.607569017
C,Ni6Zr6,1.89170561,hollow|A_B_B|FCC,L1_o,"['Ni', 'Zr', 'Zr']","[10, 11, 12]","['Ni', 'Ni', 'Zr', 'Zr', 'Ni', 'Ni', 'Zr', 'Zr']","[5, 6, 7, 8, 9, 10, 11, 12]",3,337.8,10.305,1.500532996,6.969376667,0.669333333,532.4,-1.129193658,2.573506906,0.656807215,11.437,3.607569017
C,Os12,3.698386258,top|A,A1,['Os'],[9],"['Os', 'Os', 'Os', 'Os', 'Os', 'Os', 'Os']","[5, 6, 8, 9, 10, 11, 12]",1,273.44,8.42,2.2,8.43823,1.1,661.0,-1.909056083,5.367090677,0.724385006,3.814,4.954544751
C,Os12,1.677095004,hollow|A_A_A|HCP,A1,"['Os', 'Os', 'Os']","[9, 11, 12]","['Os', 'Os', 'Os', 'Os', 'Os', 'Os', 'Os', 'Os']","[5, 6, 7, 8, 9, 10, 11, 12]",3,273.44,8.42,2.2,8.43823,1.1,661.0,-1.905268707,5.36797483,0.723922966,3.814,4.954544751
C,Os12,2.301708782,hollow|A_A_A|FCC,A1,"['Os', 'Os', 'Os']","[9, 10, 11]","['Os', 'Os', 'Os', 'Os', 'Os', 'Os', 'Os', 'Os']","[5, 6, 7, 8, 9, 10, 11, 12]",3,273.44,8.42,2.2,8.43823,1.1,661.0,-1.905588767,5.367893005,0.723959437,3.814,4.044308263
C,Os6Pd6,1.443342685,hollow|A_A_B|HCP,L1_o,"['Pd', 'Os', 'Os']","[10, 11, 12]","['Pd', 'Pd', 'Os', 'Os', 'Pd', 'Pd', 'Os', 'Os']","[5, 6, 7, 8, 9, 10, 11, 12]",3,331.255,8.49,2.2,8.404433,0.920666667,572.9,-1.855136144,3.333696044,0.775835628,13.63,4.044308263
C,Os6Pd6,1.605499268,hollow|A_A_B|FCC,L1_o,"['Pd', 'Os', 'Os']","[9, 11, 12]","['Pd', 'Pd', 'Os', 'Os', 'Pd', 'Pd', 'Os', 'Os']","[5, 6, 7, 8, 9, 10, 11, 12]",3,331.255,8.49,2.2,8.404433,0.920666667,572.9,-1.855142925,3.333687746,0.775836999,13.63,5.504376059
