adsorbate,surface,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy,CN,GCN,Valence Electrons,reaction energy (eV),site,Beta,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices
C,Re12,276.1,8.86,1.9,7.83352,0.15,738.0,1,7.5,7,4.02485606,top|A,1.0,A1,['Re'],[9],"['Re', 'Re', 'Re', 'Re', 'Re', 'Re', 'Re', 'Re']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Re12,276.1,8.86,1.9,7.83352,0.15,738.0,3,7.5,7,1.382594223,hollow|A_A_A|HCP,1.0,A1,"['Re', 'Re', 'Re']","[10, 11, 12]","['Re', 'Re', 'Re', 'Re', 'Re', 'Re', 'Re', 'Re']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Re12,276.1,8.86,1.9,7.83352,0.15,738.0,3,6.954545454545454,7,1.640166843,hollow|A_A_A|FCC,1.0,A1,"['Re', 'Re', 'Re']","[9, 10, 11]","['Re', 'Re', 'Re', 'Re', 'Re', 'Re', 'Re', 'Re']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Rh12,380.34,8.28,2.28,7.4589,1.137,516.7,1,7.5,9,3.724234623,top|A,1.0,A1,['Rh'],[9],"['Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Rh12,380.34,8.28,2.28,7.4589,1.137,516.7,3,7.5,9,1.926347062,hollow|A_A_A|HCP,1.0,A1,"['Rh', 'Rh', 'Rh']","[10, 11, 12]","['Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Rh12,380.34,8.28,2.28,7.4589,1.137,516.7,3,6.954545454545454,9,2.219680338,hollow|A_A_A|FCC,1.0,A1,"['Rh', 'Rh', 'Rh']","[9, 10, 11]","['Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh', 'Rh']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Ru12,270.59,8.17,2.2,7.3605,1.05,605.7,1,7.5,8,3.567144257,top|A,1.0,A1,['Ru'],[9],"['Ru', 'Ru', 'Ru', 'Ru', 'Ru', 'Ru', 'Ru', 'Ru']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Ru12,270.59,8.17,2.2,7.3605,1.05,605.7,3,7.5,8,1.59930963,hollow|A_A_A|HCP,1.0,A1,"['Ru', 'Ru', 'Ru']","[9, 11, 12]","['Ru', 'Ru', 'Ru', 'Ru', 'Ru', 'Ru', 'Ru', 'Ru']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Ru12,270.59,8.17,2.2,7.3605,1.05,605.7,3,6.954545454545454,8,2.166237452,hollow|A_A_A|FCC,1.0,A1,"['Ru', 'Ru', 'Ru']","[9, 10, 11]","['Ru', 'Ru', 'Ru', 'Ru', 'Ru', 'Ru', 'Ru', 'Ru']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Sc12,330.9,15.0,1.36,6.56149,0.188,334.0,1,7.5,3,4.55285514,top|A,1.0,A1,['Sc'],[9],"['Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Sc12,330.9,15.0,1.36,6.56149,0.188,334.0,3,7.5,3,1.560266056,hollow|A_A_A|HCP,1.0,A1,"['Sc', 'Sc', 'Sc']","[10, 11, 12]","['Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Sc12,330.9,15.0,1.36,6.56149,0.188,334.0,3,6.954545454545454,3,1.980335128,hollow|A_A_A|FCC,1.0,A1,"['Sc', 'Sc', 'Sc']","[9, 10, 11]","['Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Ta12,330.13,10.85,1.5,7.549571,0.322,771.0,1,7.5,5,4.260301334,top|A,1.0,A1,['Ta'],[9],"['Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'Ta']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Ta12,330.13,10.85,1.5,7.549571,0.322,771.0,3,7.5,5,0.752288639,hollow|A_A_A|HCP,1.0,A1,"['Ta', 'Ta', 'Ta']","[9, 10, 11]","['Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'Ta']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Ta12,330.13,10.85,1.5,7.549571,0.322,771.0,3,6.954545454545454,5,0.439420039,hollow|A_A_A|FCC,1.0,A1,"['Ta', 'Ta', 'Ta']","[9, 10, 12]","['Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'Ta', 'Ta']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Tc12,273.5,8.63,1.9,7.11938,0.55,573.0,1,7.5,7,3.723349165,top|A,1.0,A1,['Tc'],[9],"['Tc', 'Tc', 'Tc', 'Tc', 'Tc', 'Tc', 'Tc', 'Tc']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Tc12,273.5,8.63,1.9,7.11938,0.55,573.0,3,7.5,7,1.396295019,hollow|A_A_A|HCP,1.0,A1,"['Tc', 'Tc', 'Tc']","[10, 11, 12]","['Tc', 'Tc', 'Tc', 'Tc', 'Tc', 'Tc', 'Tc', 'Tc']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Tc12,273.5,8.63,1.9,7.11938,0.55,573.0,3,6.954545454545454,7,1.716465658,hollow|A_A_A|FCC,1.0,A1,"['Tc', 'Tc', 'Tc']","[9, 10, 11]","['Tc', 'Tc', 'Tc', 'Tc', 'Tc', 'Tc', 'Tc', 'Tc']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Ti12,295.08,10.64,1.54,6.82812,0.079,443.7,1,7.5,4,3.803851867,top|A,1.0,A1,['Ti'],[9],"['Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Ti12,295.08,10.64,1.54,6.82812,0.079,443.7,3,7.5,4,1.288465013,hollow|A_A_A|HCP,1.0,A1,"['Ti', 'Ti', 'Ti']","[10, 11, 12]","['Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Ti12,295.08,10.64,1.54,6.82812,0.079,443.7,3,6.954545454545454,4,1.310324189,hollow|A_A_A|FCC,1.0,A1,"['Ti', 'Ti', 'Ti']","[9, 10, 11]","['Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,V12,303.0,8.32,1.63,6.746187,0.525,475.8,1,7.5,5,3.602374699,top|A,1.0,A1,['V'],[9],"['V', 'V', 'V', 'V', 'V', 'V', 'V', 'V']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,V12,303.0,8.32,1.63,6.746187,0.525,475.8,3,7.5,5,1.008863553,hollow|A_A_A|HCP,1.0,A1,"['V', 'V', 'V']","[10, 11, 12]","['V', 'V', 'V', 'V', 'V', 'V', 'V', 'V']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,V12,303.0,8.32,1.63,6.746187,0.525,475.8,3,6.954545454545454,5,0.88328084,hollow|A_A_A|FCC,1.0,A1,"['V', 'V', 'V']","[9, 10, 11]","['V', 'V', 'V', 'V', 'V', 'V', 'V', 'V']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,W12,316.52,9.47,2.36,7.86403,0.81626,835.0,1,7.5,6,4.075780532,top|A,1.0,A1,['W'],[9],"['W', 'W', 'W', 'W', 'W', 'W', 'W', 'W']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,W12,316.52,9.47,2.36,7.86403,0.81626,835.0,3,7.5,6,0.721671343,hollow|A_A_A|HCP,1.0,A1,"['W', 'W', 'W']","[10, 11, 12]","['W', 'W', 'W', 'W', 'W', 'W', 'W', 'W']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,W12,316.52,9.47,2.36,7.86403,0.81626,835.0,3,6.954545454545454,6,0.561387312,hollow|A_A_A|FCC,1.0,A1,"['W', 'W', 'W']","[9, 10, 11]","['W', 'W', 'W', 'W', 'W', 'W', 'W', 'W']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Y12,364.74,19.88,1.22,6.21726,0.307,391.4,1,7.5,3,5.033120555,top|A,1.0,A1,['Y'],[9],"['Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Y12,364.74,19.88,1.22,6.21726,0.307,391.4,3,7.5,3,1.796520869,hollow|A_A_A|HCP,1.0,A1,"['Y', 'Y', 'Y']","[10, 11, 12]","['Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Y12,364.74,19.88,1.22,6.21726,0.307,391.4,3,6.954545454545454,3,2.20871415,hollow|A_A_A|FCC,1.0,A1,"['Y', 'Y', 'Y']","[9, 10, 11]","['Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Zn12,266.49,9.16,1.65,9.394197,0.0,126.35,1,7.5,12,6.115356067,top|A,1.0,A1,['Zn'],[9],"['Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn']","[5, 6, 7, 8, 9, 10, 11, 12]"
