Metal,D-Band Center,D-Band Width,D-Band Filling,Adsorption Site
Co2Ag2,-2.974452284,1.733597604,0.982560078,hollow|A_A_B|FCC
Co2Ag2,-3.5447035,1.701606888,0.985611785,hollow|A_A_B|HCP
Co2Ag2,-3.545400093,1.700908038,0.985634782,hollow|A_B_B|FCC
Co2Ag2,-2.974483374,1.733521966,0.982564795,hollow|A_B_B|HCP
Co2Ag2,-2.402287941,1.570026181,0.979463339,top|A
Co2Ag2,-4.115115159,1.460447147,0.988688102,top|B
Co2Au2,-3.150984461,2.017794466,0.980035731,4fold|A_A_B_B
Co2Au2,-2.513242638,1.558551863,0.979345255,bridge|A_A|A
Co2Au2,-2.513242638,1.558551863,0.979345255,bridge|A_A|B
Co2Au2,-3.150891354,2.017920926,0.980033537,bridge|A_B|A
Co2Au2,-3.150937015,2.017947005,0.980032945,bridge|A_B|B
Co2Au2,-3.789320539,2.213770875,0.980726578,bridge|B_B|A
Co2Au2,-3.151017596,2.017746909,0.980039233,bridge|B_B|B
Co2Au2,-2.938352618,1.901165925,0.97980586,hollow|A_A_A|FCC
Co2Au2,-3.36375643,2.106670247,0.980268091,hollow|A_A_A|HCP
Co2Au2,-2.938326376,1.901150637,0.979806581,hollow|A_A_B|FCC
Co2Au2,-3.363671072,2.106824502,0.980264471,hollow|A_A_B|HCP
Co2Au2,-3.36375643,2.106670247,0.980268091,hollow|A_B_B|FCC
Co2Au2,-2.938352618,1.901165925,0.97980586,hollow|A_B_B|HCP
Co2Au2,-2.513117548,1.558792798,0.979340499,top|A
Co2Au2,-3.789391082,2.21377703,0.98072672,top|B
Co2Cd2,-5.463676167,3.486916396,0.984982741,4fold|A_A_B_B
Co2Cd2,-2.275589273,1.644298856,0.972804746,bridge|A_A|A
Co2Cd2,-2.275589273,1.644298856,0.972804746,bridge|A_A|B
Co2Cd2,-5.463929532,3.486861246,0.984983694,bridge|A_B|A
Co2Cd2,-5.463920998,3.48686138,0.984983639,bridge|A_B|B
Co2Cd2,-8.632722588,1.187552542,0.997089715,bridge|B_B|A
Co2Cd2,-5.463908641,3.48692183,0.984983039,bridge|B_B|B
Co2Cd2,-4.403214219,3.357059856,0.980931211,hollow|A_A_A|FCC
Co2Cd2,-6.522065194,3.286775825,0.989025694,hollow|A_A_A|HCP
Co2Cd2,-4.403220775,3.357061728,0.980931374,hollow|A_A_B|FCC
Co2Cd2,-6.522078311,3.286733494,0.989026021,hollow|A_A_B|HCP
Co2Cd2,-6.522065194,3.286775825,0.989025694,hollow|A_B_B|FCC
Co2Cd2,-4.403214219,3.357059856,0.980931211,hollow|A_B_B|HCP
Co2Cd2,-2.275606975,1.644266186,0.972803868,top|A
Co2Cd2,-8.632730975,1.187569589,0.997089497,top|B
Co2Cu2,-2.517034012,1.652781091,0.977317581,4fold|A_A_B_B
Co2Cu2,-2.439447789,1.718163071,0.972802366,bridge|A_A|A
Co2Cu2,-2.439447789,1.718163071,0.972802366,bridge|A_A|B
Co2Cu2,-2.517086911,1.652909296,0.97731707,bridge|A_B|A
Co2Cu2,-2.517028112,1.652938038,0.977314671,bridge|A_B|B
Co2Cu2,-2.594381775,1.581167829,0.98182085,bridge|B_B|A
Co2Cu2,-2.517022094,1.652697894,0.977317529,bridge|B_B|B
Co2Cu2,-2.491160762,1.675221636,0.975812722,hollow|A_A_A|FCC
