adsorbate,surface,reaction energy (eV),site,S. designation
O,Cd6Ni6,0.905952413,hollow|A_A_B|FCC,L1_o
O,Cd6Pd6,1.471312042,hollow|A_A_B|FCC,L1_o
O,Cd6Pd6,1.744658965,hollow|A_B_B|HCP,L1_o
O,Cd6Pd6,1.755822979,hollow|A_B_B|FCC,L1_o
O,Cd6Pt6,1.829835086,hollow|A_A_B|HCP,L1_o
O,Cd6Pt6,1.4217012,hollow|A_A_B|FCC,L1_o
O,Cd6Pt6,1.685431483,hollow|A_B_B|HCP,L1_o
O,Cd6Pt6,1.652899457,hollow|A_B_B|FCC,L1_o
O,Cd6Re6,-0.204865257,top|B,L1_o
O,Cd6Rh6,0.755444072,bridge|B_B|A,L1_o
O,Cd6Rh6,1.417697589,bridge|A_B|A,L1_o
O,Cd6Rh6,1.235581049,hollow|A_A_B|FCC,L1_o
O,Cd6Rh6,0.721732024,hollow|A_B_B|HCP,L1_o
O,Cd6Rh6,1.637444072,4fold|A_A_B_B,L1_o
O,Cd6Sc6,-2.971840404,bridge|B_B|A,L1_o
O,Cd6Ta6,-1.224046007,top|B,L1_o
O,Cd6Ta6,-2.286633132,bridge|A_A|B,L1_o
O,Cd6Ta6,-2.289746114,bridge|B_B|A,L1_o
O,Cd6Ta6,-1.326918099,top-tilt|B,L1_o
O,Cd6Tc6,0.481163526,top|B,L1_o
O,Cd6Tc6,0.435261459,bridge-tilt|A_B|A,L1_o
O,Cd6Tc6,0.39931182,bridge-tilt|B_B|B,L1_o
O,Cd6Ti6,-2.739338449,bridge|B_B|A,L1_o
O,Cd6Ti6,-1.179526278,hollow-tilt|A_A_B|FCC,L1_o
O,Cd6Ti6,-1.283942072,hollow-tilt|A_A_B|HCP,L1_o
O,Cd6V6,-2.011007936,bridge|B_B|B,L1_o
O,Cd6V6,-2.006093968,bridge|B_B|A,L1_o
O,Cd6V6,-0.986876211,top-tilt|B,L1_o
O,Cd6V6,-0.777885708,hollow-tilt|A_A_B|FCC,L1_o
O,Cd6W6,-1.071517629,top|B,L1_o
O,Cd6W6,-1.470453931,bridge|B_B|B,L1_o
O,Cd6W6,-1.462704946,bridge|B_B|A,L1_o
O,Cd6Y6,-0.212418593,top|B,L1_o
O,Cd6Y6,-2.826294739,bridge|A_A|B,L1_o
O,Cd6Y6,-2.8302076,bridge|B_B|A,L1_o
O,Cd6Y6,-1.102929498,bridge|A_B|B,L1_o
O,Cd6Y6,-1.548277673,4fold|A_A_B_B,L1_o
O,Cd6Zn6,0.482898796,hollow|A_A_B|HCP,L1_o
O,Cd6Zn6,0.607710611,hollow|A_A_B|FCC,L1_o
O,Cd6Zn6,0.134888054,hollow|A_B_B|HCP,L1_o
