adsorbate,surface,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy,CN,GCN,Valence Electrons,reaction energy (eV),site,Beta,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices
C,Fe6Ni6,319.525,6.84,1.8829521108633485,7.727408033333333,0.821,383.73333333333335,3,7.5,9.333333333333332,2.455657867,hollow|A_B_B|HCP,1.0,L1_o,"['Fe', 'Ni', 'Ni']","[10, 11, 12]","['Fe', 'Fe', 'Ni', 'Ni', 'Fe', 'Fe', 'Ni', 'Ni']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Fe6Ni6,319.525,6.84,1.8829521108633485,7.727408033333333,0.821,383.73333333333335,3,6.954545454545454,9.333333333333332,2.547684046,hollow|A_B_B|FCC,1.0,L1_o,"['Fe', 'Ni', 'Ni']","[9, 11, 12]","['Fe', 'Fe', 'Ni', 'Ni', 'Fe', 'Fe', 'Ni', 'Ni']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Fe6Os6,280.045,7.755,1.9458451971738455,8.0810554,0.4673333333333334,460.8666666666666,3,7.5,8.0,1.897778102,hollow|A_A_B|HCP,1.0,L1_o,"['Fe', 'Fe', 'Os']","[9, 10, 11]","['Fe', 'Fe', 'Os', 'Os', 'Fe', 'Fe', 'Os', 'Os']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Fe6Os6,280.045,7.755,1.9458451971738455,8.0810554,0.4673333333333334,460.8666666666666,3,6.954545454545454,8.0,2.290951714,hollow|A_A_B|FCC,1.0,L1_o,"['Fe', 'Fe', 'Os']","[9, 10, 12]","['Fe', 'Fe', 'Os', 'Os', 'Fe', 'Fe', 'Os', 'Os']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Fe6Os6,280.045,7.755,2.069023787630887,8.2596427,0.7836666666666666,560.9333333333333,3,6.954545454545454,8.0,1.735675127,hollow|A_B_B|FCC,1.0,L1_o,"['Fe', 'Os', 'Os']","[9, 11, 12]","['Fe', 'Fe', 'Os', 'Os', 'Fe', 'Fe', 'Os', 'Os']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Fe6Pd6,337.86,7.825,2.0064894716892985,8.119653549999999,0.3565,378.75,2,7.33,9.0,3.179107474,bridge|A_B|A,1.0,L1_o,"['Fe', 'Pd']","[10, 12]","['Fe', 'Fe', 'Pd', 'Pd', 'Fe', 'Fe', 'Pd', 'Pd']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Fe6Pd6,337.86,7.825,1.9458451971738455,8.047258399999999,0.288,372.76666666666665,3,7.5,8.666666666666666,2.714901673,hollow|A_A_B|HCP,1.0,L1_o,"['Fe', 'Fe', 'Pd']","[9, 10, 11]","['Fe', 'Fe', 'Pd', 'Pd', 'Fe', 'Fe', 'Pd', 'Pd']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Fe6Pd6,337.86,7.825,1.9458451971738455,8.047258399999999,0.288,372.76666666666665,3,6.954545454545454,8.666666666666666,2.735028573,hollow|A_A_B|FCC,1.0,L1_o,"['Fe', 'Fe', 'Pd']","[9, 10, 12]","['Fe', 'Fe', 'Pd', 'Pd', 'Fe', 'Fe', 'Pd', 'Pd']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Fe6Pd6,337.86,7.825,2.069023787630887,8.192048699999997,0.425,384.73333333333335,3,7.5,9.333333333333332,2.980894992,hollow|A_B_B|HCP,1.0,L1_o,"['Fe', 'Pd', 'Pd']","[10, 11, 12]","['Fe', 'Fe', 'Pd', 'Pd', 'Fe', 'Fe', 'Pd', 'Pd']","[5, 6, 7, 8, 9, 10, 11, 12]"
C,Fe6Pd6,337.86,7.825,2.069023787630887,8.192048699999997,0.425,384.73333333333335,3,6.954545454545454,9.333333333333332,3.112910748,hollow|A_B_B|FCC,1.0,L1_o,"['Fe', 'Pd', 'Pd']","[9, 11, 12]","['Fe', 'Fe', 'Pd', 'Pd', 'Fe', 'Fe', 'Pd', 'Pd']","[5, 6, 7, 8, 9, 10, 11, 12]"
