adsorbate,surface,reaction energy (eV),site,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices,Coordination_Number,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy
C,Mo6Os6,1.208521368,hollow|A_B_B|HCP,L1_o,"['Mo', 'Os', 'Os']","[10, 11, 12]","['Mo', 'Mo', 'Os', 'Os', 'Mo', 'Mo', 'Os', 'Os']","[5, 6, 7, 8, 9, 10, 11, 12]",3,294.07,8.9,2.186585032,7.98963,0.982666667,652.6666667
C,Mo6Os6,1.485213794,hollow|A_B_B|FCC,L1_o,"['Mo', 'Os', 'Os']","[9, 11, 12]","['Mo', 'Mo', 'Os', 'Os', 'Mo', 'Mo', 'Os', 'Os']","[5, 6, 7, 8, 9, 10, 11, 12]",3,294.07,8.9,2.186585032,7.98963,0.982666667,652.6666667
C,Mo6Pd6,1.713947245,hollow|A_A_B|HCP,L1_o,"['Mo', 'Mo', 'Pd']","[9, 10, 11]","['Mo', 'Mo', 'Pd', 'Pd', 'Mo', 'Mo', 'Pd', 'Pd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,351.885,8.97,2.173251865,7.507233,0.686,556.2333333
C,Mo6Pd6,1.88605884,hollow|A_A_B|FCC,L1_o,"['Mo', 'Mo', 'Pd']","[9, 10, 12]","['Mo', 'Mo', 'Pd', 'Pd', 'Mo', 'Mo', 'Pd', 'Pd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,351.885,8.97,2.173251865,7.507233,0.686,556.2333333
C,Mo6Pd6,2.513866963,hollow|A_B_B|HCP,L1_o,"['Mo', 'Pd', 'Pd']","[10, 11, 12]","['Mo', 'Mo', 'Pd', 'Pd', 'Mo', 'Mo', 'Pd', 'Pd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,351.885,8.97,2.186585032,7.922036,0.624,476.4666667
C,Mo6Pd6,2.735525862,hollow|A_B_B|FCC,L1_o,"['Mo', 'Pd', 'Pd']","[9, 11, 12]","['Mo', 'Mo', 'Pd', 'Pd', 'Mo', 'Mo', 'Pd', 'Pd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,351.885,8.97,2.186585032,7.922036,0.624,476.4666667
C,Mo6Pt6,3.790806321,bridge|B_B|A,L1_o,"['Pt', 'Pt']","[11, 12]","['Mo', 'Mo', 'Pt', 'Pt', 'Mo', 'Mo', 'Pt', 'Pt']","[5, 6, 7, 8, 9, 10, 11, 12]",2,353.56,9.235,2.28,8.95883,2.128,510
C,Mo6Pt6,1.759121679,hollow|A_A_B|HCP,L1_o,"['Mo', 'Mo', 'Pt']","[9, 10, 11]","['Mo', 'Mo', 'Pt', 'Pt', 'Mo', 'Mo', 'Pt', 'Pt']","[5, 6, 7, 8, 9, 10, 11, 12]",3,353.56,9.235,2.199281308,7.714563333,1.208,594
C,Mo6Pt6,2.00197811,hollow|A_A_B|FCC,L1_o,"['Mo', 'Mo', 'Pt']","[9, 10, 12]","['Mo', 'Mo', 'Pt', 'Pt', 'Mo', 'Mo', 'Pt', 'Pt']","[5, 6, 7, 8, 9, 10, 11, 12]",3,353.56,9.235,2.199281308,7.714563333,1.208,594
C,Mo6Pt6,2.510177507,hollow|A_B_B|HCP,L1_o,"['Mo', 'Pt', 'Pt']","[10, 11, 12]","['Mo', 'Mo', 'Pt', 'Pt', 'Mo', 'Mo', 'Pt', 'Pt']","[5, 6, 7, 8, 9, 10, 11, 12]",3,353.56,9.235,2.239276978,8.336696667,1.668,552
C,Mo6Pt6,2.72799171,hollow|A_B_B|FCC,L1_o,"['Mo', 'Pt', 'Pt']","[9, 11, 12]","['Mo', 'Mo', 'Pt', 'Pt', 'Mo', 'Mo', 'Pt', 'Pt']","[5, 6, 7, 8, 9, 10, 11, 12]",3,353.56,9.235,2.239276978,8.336696667,1.668,552
C,Mo6Re6,1.404203872,hollow|A_A_B|HCP,L1_o,"['Mo', 'Mo', 'Re']","[9, 10, 11]","['Mo', 'Mo', 'Re', 'Re', 'Mo', 'Mo', 'Re', 'Re']","[5, 6, 7, 8, 9, 10, 11, 12]",3,295.4,9.12,2.069602948,7.33946,0.548666667,670
C,Mo6Re6,1.400260806,hollow|A_A_B|FCC,L1_o,"['Mo', 'Mo', 'Re']","[9, 10, 12]","['Mo', 'Mo', 'Re', 'Re', 'Mo', 'Mo', 'Re', 'Re']","[5, 6, 7, 8, 9, 10, 11, 12]",3,295.4,9.12,2.069602948,7.33946,0.548666667,670
C,Mo6Re6,1.090090487,hollow|A_B_B|HCP,L1_o,"['Mo', 'Re', 'Re']","[10, 11, 12]","['Mo', 'Mo', 'Re', 'Re', 'Mo', 'Mo', 'Re', 'Re']","[5, 6, 7, 8, 9, 10, 11, 12]",3,295.4,9.12,1.982989057,7.58649,0.349333333,704
C,Mo6Re6,1.148073184,hollow|A_B_B|FCC,L1_o,"['Mo', 'Re', 'Re']","[9, 11, 12]","['Mo', 'Mo', 'Re', 'Re', 'Mo', 'Mo', 'Re', 'Re']","[5, 6, 7, 8, 9, 10, 11, 12]",3,295.4,9.12,1.982989057,7.58649,0.349333333,704
