adsorbate,surface,reaction energy (eV),site,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices,Coordination_Number,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy,d-Band_Center,d-Band_Width,d-Band_Filling,DOS at Fermi Energy,Work Function
C,Ag6Ir6,3.398978585,hollow|A_A_B|FCC,L1_o,"['Ag', 'Ag', 'Ir']","[9, 10, 12]","['Ag', 'Ag', 'Ir', 'Ir', 'Ag', 'Ag', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,396.215,9.395,2.0161016866278105,8.039829333333333,1.3892666666666664,372.8666666666666,-3.09578557797222,1.78927090555249,0.927276172779733,21.28,5.15849431166805
C,Ag6Ir6,3.12616242,hollow-tilt|A_A_B|HCP,L1_o,"['Ag', 'Ag', 'Ir']","[9, 10, 11]","['Ag', 'Ag', 'Ir', 'Ir', 'Ag', 'Ag', 'Ir', 'Ir']","[5, 6, 7, 8, 9, 10, 11, 12]",3,396.215,9.395,2.0161016866278105,8.039829333333333,1.3892666666666664,372.8666666666666,-3.09575434577456,1.7893113394473,0.92727114635409,21.28,5.15849431166805
C,Ag6La6,5.766888718,top|B,L1_o,['La'],[10],"['La', 'La', 'Ag', 'La', 'La', 'Ag', 'Ag']","[5, 6, 8, 9, 10, 11, 12]",1,392.865,16.33,1.1,5.5769,0.47,406.2,-0.601611690175221,2.83108534804993,0.470485230763912,11.0,3.28923317706374
C,Ag6La6,2.805203603,hollow|A_B_B|FCC,L1_o,"['La', 'La', 'Ag']","[9, 10, 11]","['La', 'La', 'Ag', 'Ag', 'La', 'La', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,392.865,16.33,1.326724939852009,6.243344666666666,0.7473333333333333,359.56666666666666,-3.98119317011553,2.36726864306511,0.907537106757018,11.0,3.28923317706374
C,Ag6La6,1.917778197,4fold|A_A_B_B,L1_o,"['La', 'La', 'Ag', 'Ag']","[9, 10, 11, 12]","['La', 'La', 'Ag', 'Ag', 'La', 'La', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",5,392.865,16.33,1.4570518178843197,6.576567,0.886,336.25,-3.51108134259978,2.70314452416356,0.846740788959578,11.0,3.28923317706374
C,Ag6Mn6,3.62682576,bridge|B_B|A,L1_o,"['Mn', 'Mn']","[9, 10]","['Mn', 'Mn', 'Ag', 'Ag', 'Mn', 'Mn', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",2,649.89,8.809999999999999,1.55,7.434038,0.0,233.2,-3.10709766988367,1.02707901201159,0.993760689052794,4.8068,4.30370668315683
C,Ag6Mo6,3.189311198,hollow|A_A_B|HCP,L1_o,"['Mo', 'Ag', 'Ag']","[10, 11, 12]","['Mo', 'Mo', 'Ag', 'Ag', 'Mo', 'Mo', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,361.615,9.825,2.0038080780024066,7.414966,1.1173333333333333,389.5333333333333,-2.99182715465073,2.89777747069172,0.856374371918763,15.52,5.03021585301831
C,Ag6Mo6,2.919558491,hollow|A_A_B|FCC,L1_o,"['Mo', 'Ag', 'Ag']","[9, 11, 12]","['Mo', 'Mo', 'Ag', 'Ag', 'Mo', 'Mo', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,361.615,9.825,2.0038080780024066,7.414966,1.1173333333333333,389.5333333333333,-2.99182715465073,2.89777747069172,0.856374371918763,15.52,5.03021585301831
C,Ag6Mo6,1.836787187,hollow|A_B_B|HCP,L1_o,"['Mo', 'Mo', 'Ag']","[9, 10, 11]","['Mo', 'Mo', 'Ag', 'Ag', 'Mo', 'Mo', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,361.615,9.825,2.0804387634547665,7.253698,0.9326666666666666,512.7666666666667,-1.86595675941116,3.4789659756709,0.7170154320316,15.52,5.03021585301831
C,Ag6Mo6,1.929447935,hollow|A_B_B|FCC,L1_o,"['Mo', 'Mo', 'Ag']","[9, 10, 12]","['Mo', 'Mo', 'Ag', 'Ag', 'Mo', 'Mo', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,361.615,9.825,2.0804387634547665,7.253698,0.9326666666666666,512.7666666666667,-1.86596592866937,3.47896780075746,0.717015859974334,15.52,5.03021585301831
