Adsorption Energy, d-Band Center and Width, Surface
-0.760405659,-1.0209734620000002,Hf6Zn6
-0.760068782,-1.0210048815000001,Hf6Zn6
-0.759627278,0.8311584755000001,La6Mo6
-0.759495166,1.033212489,Mo6Ti6
-0.759210399,0.8158644890000001,Cr6La6
-0.758458957,1.7353485965,W6Y6
-0.75827011,-0.049889344500000155,Cu6Ti6
-0.7573105,-6.5227763365,Ti6Zn6
-0.757140157,1.2725355045,Sc6Zr6
-0.755886257,0.5609553225,Co6V6
-0.755374274,0.8013784495,Mn6Zr6
-0.754731405,2.3277185014999997,Hg6Ta6
-0.754445142,2.299744706,Cu6Ta6
-0.753490974,1.2331387969999998,Mo6W6
-0.753370292,0.8693200274999999,Ni6Ta6
-0.753027292,0.9436604144999999,Cr6Nb6
-0.752721573,-0.7186411549999998,Nb6Zn6
-0.752681164,-8.224303693000001,Cd6Sc6
-0.752395036,1.002122269,Mo6V6
-0.750986303,2.3301059905000003,Ag6Ta6
-0.750733645,1.0374759755,Cu6Ta6
-0.749997441,-1.06640099,Zn6Zr6
-0.748612109,1.4501056329999997,Mo6Sc6
-0.748612109,1.4501056329999997,Mo6Sc6
-0.748612109,1.4501056329999997,Mo6Sc6
-0.748525169,1.035486515,V6W6
-0.746658468,1.3092695119999997,Re6W6
-0.746579419,1.702548061,Hf6Hg6
-0.746565813,1.300030773,Cu6W6
-0.746513023,0.9412323140000001,Cr6Mo6
-0.746343224,1.233087247,Mo6W6
-0.746217372,1.290244032,La6Rh6
-0.745925393,1.2614366635,Hf6Ti6
-0.745167692,0.7653206404999999,Hf6Tc6
-0.743892431,1.0615818835000002,Cd6Sc6
-0.743453103,1.0271489249999999,Cr6Mo6
-0.742800574,1.1053478629999998,Re6Ti6
-0.742286143,1.1289717235,Mo6Nb6
-0.74220274,1.3092755080000003,Re6W6
-0.742009131,1.8336781759999998,Hf12
-0.74101129,1.2657390855,Mo6W6
-0.740848974,0.9872913689999998,Re6Sc6
-0.739253298,1.1180075795,Hf6Pt6
-0.73921561,-1.9678044140000002,Hf6Pt6
-0.738776963,2.2512993405,Tc6Zr6
-0.738707302,0.6703877449999999,Tc6Zr6
-0.73771463,1.6398062675,Nb6Y6
-0.735502209,0.33065537849999993,Ir6Nb6
-0.735187645,1.6162209029999999,La6Tc6
-0.735157849,-0.9434294800000003,Ti6Zn6
-0.734806278,1.6279055109999998,Hf6Zr6
-0.734541103,-0.18561856300000001,Ir6Nb6
-0.734239601,1.4459714505,Hf6Zn6
-0.734204362,2.3803653584999998,Ta6V6
-0.732703382,1.0284466045,Pd6Zr6
-0.732681069,1.4909631995,Cd6Nb6
-0.732357253,1.3646595015,Nb6Zn6
-0.732194393,1.2369000044999998,Cr6W6
-0.732194257,-7.6728247965000005,Cd6Nb6
-0.731883503,1.3088281480000001,La6Tc6
-0.731622682,2.228809476,Hf6W6
-0.731589212,1.405921009,Cd6Y6
-0.731427984,0.5625941255000001,Fe6Ta6
-0.731337779,1.2948172845,La6Ti6
