Adsorption Energy, d-Band Center and Width, Surface
0.930602661,1.5157063140000002,Hf6La6
0.931442132,1.3365684185,Nb6W6
0.943558137,0.4449676895000001,Tc6Ti6
0.943924402,1.4941739330000001,Hf6Ti6
0.944078146,-0.4177935964999999,Co6Sc6
0.944078146,-0.4177935964999999,Co6Sc6
0.944078146,-0.4177935964999999,Co6Sc6
0.94797332,1.1050424665,La6Nb6
0.950402208,1.8334240135,Hf12
0.960501985,0.2350733359999999,Ru6Sc6
0.967880216,1.9032453585,Ta6Ti6
0.976904735,1.3092695119999997,Re6W6
0.977673185,1.0170385845,Cr12
0.981514752,1.2656035204999998,Mo6W6
0.99020049,1.22079337,V6W6
0.99134296,1.7817379245,Mo6Ta6
0.994543291,1.2321818864999998,Ti6Zr6
0.994858126,1.2657390855,Mo6W6
0.995830661,2.4411968135000004,Hf6Ta6
0.996561287,1.2350642390000002,Sc6W6
1.00163172,1.3092755080000003,Re6W6
1.003657608,0.9872913689999998,Re6Sc6
1.008863553,1.14146098,V12
1.009584383,-2.3023914375000003,Hf6Zn6
1.011314347,0.5643309355000001,Hf6Os6
1.015992936,2.2392583134999997,Ta6W6
1.026734902,1.3365840125,Nb6W6
1.030438371,0.4402369315000001,Mn6W6
1.030446399,1.997751821,Sc6Ta6
1.035228119,1.2331387969999998,Mo6W6
1.043287042,1.6644007379999999,Hf6Sc6
1.048611766,1.2441203985,Ti6W6
1.051206508,1.8503751085000002,Hf6W6
1.053284641,1.9739127279999997,Ta6Ti6
1.065566907,0.9609369144999997,Tc6W6
1.06621032,1.6713135515000002,Hf6Nb6
1.070116651,1.9031095664999997,Ta6Ti6
1.070740336,1.0169743145,Cr12
1.073717397,1.4241309679999998,Hf6Nb6
1.077728899,1.015080951,Mo6Sc6
1.077728899,1.015080951,Mo6Sc6
1.077728899,1.015080951,Mo6Sc6
1.079685262,1.43879467,V6Zr6
1.083346689,1.2492527515,Mo12
1.086538993,1.0948167205000001,Re6V6
1.086712465,1.233087247,Mo6W6
1.087564046,1.4242310645000003,Hf6Nb6
1.087686361,1.3810765574999997,La6Sc6
1.090090487,1.1708864900000002,Mo6Re6
1.090861793,0.45617426000000005,Os6Zr6
1.09162276,1.2855208215,Nb6V6
1.092159368,1.4263298335,Nb6W6
1.092251343,1.3804909264999998,Y6Zr6
1.095834266,1.1863932515,Ti6V6
1.09705524,2.427108895,Ta6W6
1.102603778,-0.6649011109999999,Co6Ti6
1.109903639,0.15059673500000015,Os6Ti6
1.114136778,1.5689675275,Hf6Zr6
1.114628352,-2.3175066815,Zn6Zr6
1.115912865,1.0271489249999999,Cr6Mo6
1.11796093,1.8331257905,Hf12
1.120758533,1.243985831,Ti6W6
1.120788601,1.3448869724999999,V6W6
1.121699638,0.7715448954999999,Cr6Re6
1.122265227,-0.8476384030000002,Fe6La6
1.125890736,-0.39757360799999997,Co6La6
1.130512317,1.1861777105,Ti6V6
1.131058041,1.194387075,Tc6W6
1.13197765,0.2896486414999999,La6Ru6
1.134830764,1.2488817254999998,Mo12
1.13549581,1.3119345584999997,Nb6Zr6
1.136454603,1.0555020769999999,Nb6Y6
1.137666598,1.494193284,Hf6Ti6
1.138339808,1.23836301,Sc6Y6
1.140747471,2.1302521825,Nb6Ta6
1.148073184,1.1711109395,Mo6Re6
1.148158627,1.2321945159999999,Ti6Zr6
1.15773513,1.6328603585,Hf6Y6
1.159011071,1.515629334,Re6W6
1.160411097,2.1828964650000002,Nb6Ta6
1.162705561,1.3443068875,La6Zr6
1.165175402,1.1289717235,Mo6Nb6
1.167087682,1.2206745245,V6W6
1.167453812,1.3209829025,Nb6Ti6
1.170262571,1.4798752385,Ti6W6
1.174158152,1.5689387549999998,Hf6Zr6
1.175953151,1.2729777265000002,Mo6Nb6
1.179115114,1.205789824,Nb6Sc6
1.17924015,0.5891998795,Nb6Tc6
1.192598219,2.4411950520000003,Hf6Ta6
1.197909881,1.2387525309999998,Ta6Tc6
1.208521368,0.8437817024999998,Mo6Os6
1.209427779,1.2367564709999999,Cr6W6
1.209958537,1.128798826,Mo6Nb6
1.210932297,1.344796944,V6W6
1.212889612,2.2595617470000002,Ta6V6
1.215659594,1.0363420615,Cr6V6
1.220943093,1.311770787,Nb6Zr6
1.225151605,1.9739822665000002,Ta6Ti6
1.226309178,2.3803653584999998,Ta6V6
1.229890468,0.9412323140000001,Cr6Mo6
1.237112369,1.7932863209999998,Hf6V6
1.238554436,1.515315559,Re6W6
1.240894207,1.015695331,Mo6Sc6
1.240894207,1.015695331,Mo6Sc6
1.240894207,1.015695331,Mo6Sc6
1.241308092,1.009089092,Os6W6
1.244411007,0.20907552849999989,Ru6Zn6
1.246594992,2.181356898,Ta6Zr6
1.248992179,0.9361090814999999,Mo6Tc6
1.252336322,1.2854228404999999,Nb6V6
1.255821284,1.3941306224999999,Sc6Y6
1.258727868,0.7596483955000002,Os6Tc6
1.259106242,1.562154302,Sc6Y6
1.262184122,1.2908155085,Zr12
1.267105029,1.5907178799999997,W6Zr6
1.268940845,1.0363588935,Cr6V6
1.272320907,1.002122269,Mo6V6
1.272667308,1.1941051435000003,Mo6V6
1.273914677,1.6347862775,Hf6Ti6
1.278900347,1.002529939,Re6Tc6
1.279766213,1.8503524005,Hf6W6
1.282841508,1.2905843575000002,Zr12
1.283404511,1.6711930439999998,Hf6Nb6
1.286878725,1.5067048975,Hf6Zr6
1.288465013,1.1805529885,Ti12
1.293342789,1.3178276594999998,Ti6V6
1.296586386,1.6644397905,Hf6Sc6
1.296708021,1.4260508445000002,Nb6W6
1.296989659,1.3336449690000003,Mo6Ti6
1.298531864,0.36083903100000003,Tc6V6
1.30426816,1.154742116,Cr6V6
1.305268994,1.3445024605,La6Zr6
1.307547676,1.3806029375,Y6Zr6
1.310324189,1.180560866,Ti12
1.311196722,1.3486497325000002,Sc6Zr6
1.316527568,-0.31494995150000005,Ir6Y6
1.320359748,1.1990239735000001,Nb6Ti6
1.321130238,1.1941873255,Mo6V6
1.322039234,1.2052429795,Nb6Sc6
1.322552169,-0.635492551,Pt6Zr6
