Metal,D-Band Center,D-Band Width,D-Band Filling,Adsorption Site,DOS at Fermi Energy
Pd2Hg2,-6.500521567,1.10842355,0.994510804,bridge|A_A|B,4.222
Pd2Hg2,-1.792783815,1.413582948,0.944527126,bridge|B_B|A,4.222
Pd2Hg2,-4.940061878,2.528781431,0.977944268,hollow|A_A_B|FCC,4.222
Pd2Hg2,-4.940072748,2.52878204,0.977944017,hollow|A_A_B|HCP,4.222
Pd2Hg2,-1.792778101,1.413560925,0.944528925,top|B,4.222
Pd2Ir2,-1.878088377,1.948040081,0.808767036,bridge|A_A|B,9.642
Pd2Ir2,-2.187848335,1.579965459,0.924230183,bridge|B_B|A,9.642
Pd2Ir2,-1.982890645,1.837646595,0.847836894,hollow|A_A_B|FCC,9.642
Pd2Ir2,-1.982899122,1.837639628,0.847838082,hollow|A_A_B|HCP,9.642
Pd2Ir2,-2.086121552,1.715776869,0.886314321,hollow|A_B_B|FCC,9.642
Pd2Ir2,-2.086122997,1.715766433,0.886315671,hollow|A_B_B|HCP,9.642
Pd2Ir2,-1.878103509,1.948054472,0.808767851,top|A,9.642
Pd2Ir2,-2.187831397,1.579955119,0.924231844,top|B,9.642
Pd2Os2,-1.56194844,3.583305944,0.701078736,bridge|A_A|B,13.63
Pd2Os2,-1.855142925,3.333687746,0.775836999,hollow|A_A_B|FCC,13.63
Pd2Os2,-1.855136144,3.333696044,0.775835628,hollow|A_A_B|HCP,13.63
Pd2Os2,-2.14357916,3.041118812,0.849381676,hollow|A_B_B|FCC,13.63
Pd2Os2,-2.143573408,3.041122625,0.84937903,hollow|A_B_B|HCP,13.63
Pd2Pt2,-1.794182341,1.497651204,0.93363469,bridge|A_A|B,19.14
Pd2Pt2,-1.883935303,1.6107547,0.922244508,bridge|A_B|B,19.14
Pd2Pt2,-1.974025958,1.712040126,0.910807476,bridge|B_B|A,19.14
Pd2Pt2,-1.853984848,1.57448251,0.926044787,hollow|A_A_B|FCC,19.14
Pd2Pt2,-1.854000304,1.57449432,0.926046062,hollow|A_A_B|HCP,19.14
Pd2Pt2,-1.913901403,1.645687232,0.918436048,hollow|A_B_B|FCC,19.14
Pd2Pt2,-1.913915903,1.645662338,0.918438405,hollow|A_B_B|HCP,19.14
Pd2Pt2,-1.7941669,1.497691448,0.933632965,top|A,19.14
Pd2Pt2,-1.974050478,1.712056748,0.910809049,top|B,19.14
Pd2Re2,-1.188181273,3.834882395,0.632224435,bridge|B_B|A,22.33
Pd2Re2,-2.220373781,3.185356772,0.830152672,hollow|A_A_B|FCC,22.33
Pd2Re2,-2.220333988,3.185396529,0.830145272,hollow|A_A_B|HCP,22.33
Pd2Re2,-1.716692637,3.554969858,0.733570677,hollow|A_B_B|HCP,22.33
Pd2Re2,-1.188118437,3.834796402,0.632215215,top|B,22.33
Pd2W2,-1.030741209,4.080758022,0.589433858,bridge|B_B|A,11.16
Pd2W2,-2.2871317,3.213938526,0.829608504,hollow|A_A_B|FCC,11.16
Pd2W2,-2.287132975,3.213931636,0.829608297,hollow|A_A_B|HCP,11.16
Pd2W2,-1.702503246,3.696542893,0.717847058,hollow|A_B_B|FCC,11.16
Pd2W2,-1.702531288,3.69654319,0.717851894,hollow|A_B_B|HCP,11.16
Pd2W2,-1.030743822,4.080798921,0.589432378,top|B,11.16
Pd2Y2,-1.888636942,2.666138753,0.742071066,4fold|A_A_B_B,4.558
Pd2Y2,-2.804415334,1.922225331,0.958100485,bridge|A_A|B,4.558
Pd2Y2,-0.120782149,2.992162988,0.325049264,bridge|B_B|A,4.558
Pd2Y2,-1.438787439,2.858379743,0.635963599,hollow|A_B_B|FCC,4.558
Pd2Y2,-2.804419772,1.922224893,0.958104354,top|A,4.558
Rh2Pd2,-2.060818734,2.293311012,0.925064519,bridge|A_A|B,29.58
Rh2Pd2,-1.859218093,2.281518321,0.889261422,hollow|A_A_B|FCC,29.58
Rh2Pd2,-1.859733169,2.281364975,0.889347447,hollow|A_A_B|HCP,29.58
Rh2Pd2,-1.656814354,2.251412855,0.853307042,hollow|A_B_B|FCC,29.58
Rh2Pd2,-1.656805169,2.251414577,0.853306466,hollow|A_B_B|HCP,29.58
Rh2W2,-2.001165702,3.620870933,0.838843754,bridge|A_A|B,12.9
Rh2W2,-0.944295515,5.79203522,0.546619403,bridge|B_B|A,12.9
Rh2W2,-1.670594688,4.443394156,0.747436078,hollow|A_A_B|FCC,12.9
Rh2W2,-1.670470968,4.443430675,0.747417156,hollow|A_A_B|HCP,12.9
Rh2W2,-1.318938825,5.153698236,0.650199022,hollow|A_B_B|FCC,12.9
Rh2W2,-1.31892658,5.153697569,0.650197004,hollow|A_B_B|HCP,12.9
Rh2W2,-0.944148936,5.792044048,0.546599071,top|B,12.9
Ru2Pd2,-1.317636753,2.711954881,0.715028173,bridge|B_B|A,17.64
Ru2Pd2,-2.001059477,2.574768647,0.853792974,hollow|A_A_B|FCC,17.64
Ru2Pd2,-2.000933309,2.574485136,0.853812251,hollow|A_A_B|HCP,17.64
Ru2Pd2,-1.66134522,2.66575447,0.784824476,hollow|A_B_B|FCC,17.64
Ru2Pd2,-1.661346958,2.6657561,0.78482459,hollow|A_B_B|HCP,17.64
Ru2W2,-1.560152363,3.97918653,0.772492823,bridge|A_A|B,5.73
Ru2W2,-1.159896229,5.920368302,0.597990327,bridge|B_B|A,5.73
Ru2W2,-1.437794414,4.662669822,0.719160436,hollow|A_A_B|FCC,5.73
Ru2W2,-1.437786055,4.662707508,0.719157077,hollow|A_A_B|HCP,5.73
Ru2W2,-1.304830816,5.303342838,0.661197058,hollow|A_B_B|FCC,5.73
Ru2W2,-1.30484349,5.303342849,0.661200302,hollow|A_B_B|HCP,5.73
Sc2Pd2,-1.926505308,2.424787281,0.717848142,4fold|A_A_B_B,10.27
Sc2Pd2,-3.000991507,1.82058992,0.96064926,bridge|A_A|B,10.27
Sc2Pd2,-0.01922238,2.17815981,0.286867391,bridge|B_B|A,10.27
Sc2Pd2,-2.344984499,2.270574468,0.812412201,hollow|A_A_B|HCP,10.27
Sc2Pd2,-1.421171795,2.507425114,0.603653472,hollow|A_B_B|FCC,10.27
Sc2Pd2,-1.421143429,2.507420046,0.603649403,hollow|A_B_B|HCP,10.27
Sc2Pd2,-0.018026269,2.17774735,0.286618519,top|B,10.27
Sc2V2,-0.599380282,4.968839352,0.476592854,bridge|A_A|B,28.7
Sc2V2,-0.566300401,3.054997815,0.639576704,bridge|B_B|A,28.7
Sc2V2,-0.566300401,3.054997815,0.639576704,bridge|B_B|B,28.7
Sc2V2,-0.585037816,4.246392724,0.547243856,hollow|A_A_B|FCC,28.7
Sc2V2,-0.585135255,4.247065353,0.547244255,hollow|A_A_B|HCP,28.7
Sc2V2,-0.574463542,3.621495772,0.599449411,hollow|A_B_B|FCC,28.7
Sc2V2,-0.574460526,3.621591255,0.599435668,hollow|A_B_B|HCP,28.7
Sc2W2,-1.406199161,4.685152746,0.75897681,bridge|B_B|A,18.07
Sc2W2,-0.76549378,4.717874826,0.532917859,hollow|A_A_B|FCC,18.07
Sc2W2,-0.765760998,4.71800039,0.532970692,hollow|A_A_B|HCP,18.07
Sc2W2,-1.120256286,4.71064105,0.65808979,hollow|A_B_B|FCC,18.07
Sc2W2,-1.120498091,4.710724441,0.658144978,hollow|A_B_B|HCP,18.07
Sc2W2,-0.313192756,4.688326265,0.373363481,top|A,18.07
Tc2Pd2,-1.034761541,3.034425416,0.636572792,bridge|B_B|A,25.96
Tc2Pd2,-2.042225865,2.72382401,0.831247124,hollow|A_A_B|FCC,25.96
Tc2Pd2,-2.042206807,2.723809296,0.831241473,hollow|A_A_B|HCP,25.96
Tc2Pd2,-1.546902631,2.924478064,0.735534076,hollow|A_B_B|FCC,25.96
Tc2Pd2,-1.546898408,2.924477503,0.735533573,hollow|A_B_B|HCP,25.96
Tc2Pd2,-1.03470766,3.034400917,0.636560459,top|B,25.96
Tc2W2,-1.624099445,4.939821638,0.66765194,4fold|A_A_B_B,6.411
Tc2W2,-1.738108961,4.485720578,0.725873126,bridge|A_A|B,6.411
Tc2W2,-1.62417575,4.939900702,0.667669806,bridge|A_B|B,6.411
Tc2W2,-1.499930766,5.388635682,0.604236887,bridge|B_B|A,6.411
Tc2W2,-1.663197725,4.789373592,0.687609415,hollow|A_A_B|FCC,6.411
Tc2W2,-1.663189234,4.789372616,0.687607786,hollow|A_A_B|HCP,6.411
Tc2W2,-1.583903887,5.089657119,0.647123651,hollow|A_B_B|FCC,6.411
Tc2W2,-1.583890307,5.089654443,0.647121189,hollow|A_B_B|HCP,6.411
Tc2W2,-1.738144891,4.485673032,0.725877091,top|A,6.411
Tc2W2,-1.499942087,5.388576053,0.6042402,top|B,6.411
Ti2Pd2,-2.255900274,2.396411538,0.815680917,hollow|A_A_B|FCC,27.05
Ti2Pd2,-2.256122199,2.396337399,0.815739878,hollow|A_A_B|HCP,27.05
Ti2Pd2,-1.386763064,2.568501576,0.638937035,hollow|A_B_B|FCC,27.05
Ti2Pd2,-1.38676923,2.568508089,0.638938437,hollow|A_B_B|HCP,27.05
Ti2Pd2,-0.249370788,2.330880898,0.407668529,top|B,27.05
Ti2V2,-0.549352177,4.015722195,0.550192562,bridge|A_A|B,27.79
Ti2V2,-0.60422856,3.712015001,0.596237497,bridge|A_B|B,27.79
Ti2V2,-0.587666557,3.810988433,0.581915841,hollow|A_A_B|FCC,27.79
Ti2V2,-0.587017377,3.810582272,0.581729302,hollow|A_A_B|HCP,27.79
Ti2V2,-0.62152987,3.615846243,0.610323175,hollow|A_B_B|FCC,27.79
Ti2V2,-0.621830013,3.616015447,0.610410441,hollow|A_B_B|HCP,27.79
Ti2W2,-0.69480145,4.349353377,0.556256842,hollow|A_A_B|FCC,19.1
Ti2W2,-0.69485254,4.349306314,0.556272016,hollow|A_A_B|HCP,19.1
Ti2W2,-1.125325099,4.738890995,0.653313104,hollow|A_B_B|FCC,19.1
Ti2W2,-1.125500339,4.73897234,0.653353835,hollow|A_B_B|HCP,19.1
V2Ag2,-0.354375246,2.868622316,0.529882707,bridge|B_B|A,22.89
V2Ag2,-0.354375246,2.868622316,0.529882707,bridge|B_B|B,22.89
V2Ag2,-3.25358021,2.599591009,0.863109948,hollow|A_A_B|FCC,22.89
V2Ag2,-3.253486358,2.599795424,0.863090838,hollow|A_A_B|HCP,22.89
V2Ag2,-1.949365788,3.082205368,0.713199517,hollow|A_B_B|FCC,22.89
V2Ag2,-1.949394296,3.082188338,0.713207064,hollow|A_B_B|HCP,22.89
V2Ag2,-0.354334565,2.868715421,0.529864582,top|B,22.89
V2Au2,-4.240833082,2.111920485,0.974924863,bridge|A_A|B,23.72
V2Au2,-0.407974863,2.56026735,0.500816573,bridge|B_B|A,23.72
V2Au2,-3.167132,2.830131585,0.84209989,hollow|A_A_B|FCC,23.72
V2Au2,-3.167378508,2.829990061,0.842159281,hollow|A_A_B|HCP,23.72
V2Au2,-1.90731619,3.038757632,0.686278713,hollow|A_B_B|FCC,23.72
V2Au2,-1.907299787,3.038743892,0.686279595,hollow|A_B_B|HCP,23.72
V2Au2,-0.408183404,2.560088991,0.500900621,top|B,23.72
V2Cd2,-8.563588197,1.149112832,0.997519417,bridge|A_A|B,19.87
V2Cd2,-0.177528055,2.83188095,0.502404353,bridge|B_B|A,19.87
V2Cd2,-0.177528055,2.83188095,0.502404353,bridge|B_B|B,19.87
V2Cd2,-6.196970098,4.178352352,0.857727593,hollow|A_A_B|FCC,19.87
V2Cd2,-3.438117945,4.703835472,0.694913198,hollow|A_B_B|FCC,19.87
V2Cd2,-0.178498642,2.831942038,0.502657606,top|B,19.87
V2Cr2,-0.820954863,3.488949157,0.656152344,bridge|A_A|B,24.82
V2Cr2,-0.810516689,3.693717501,0.643650515,hollow|A_A_B|FCC,24.82
V2Cr2,-0.810537111,3.693792009,0.643654763,hollow|A_A_B|HCP,24.82
V2Cr2,-0.799018385,3.907521002,0.629843225,hollow|A_B_B|FCC,24.82
V2Cr2,-0.798955128,3.907383811,0.629829528,hollow|A_B_B|HCP,24.82
V2Cr2,-0.786194832,4.132381943,0.614475742,top|B,24.82
V2Cu2,-0.30821987,2.851624125,0.501202454,bridge|B_B|A,14.7
V2Cu2,-2.134102182,2.22300668,0.840095596,hollow|A_A_B|FCC,14.7
V2Cu2,-2.134067906,2.223054944,0.840097274,hollow|A_A_B|HCP,14.7
V2Cu2,-1.293027881,2.690709259,0.683995886,hollow|A_B_B|FCC,14.7
V2Cu2,-1.293041251,2.690707137,0.683997315,hollow|A_B_B|HCP,14.7
V2Cu2,-0.308299279,2.851698257,0.501235364,top|B,14.7
V2Hg2,-0.678924749,4.626355912,0.554572071,top|B,14.97
V2Ir2,-1.989165806,3.048649535,0.805290468,hollow|A_A_B|FCC,13.88
V2Ir2,-1.98938239,3.048766568,0.805337865,hollow|A_A_B|HCP,13.88
V2Ir2,-1.374722997,2.935041132,0.692945535,hollow|A_B_B|FCC,13.88
V2Ir2,-1.374769195,2.93503784,0.692957897,hollow|A_B_B|HCP,13.88
V2Ir2,-0.641050186,2.609907417,0.558818965,top|B,13.88
V2Mo2,-1.162409227,4.329062992,0.67555017,hollow|A_A_B|FCC,26.75
V2Mo2,-1.163007727,4.329271159,0.675714775,hollow|A_A_B|HCP,26.75
